TSPAN6	4.600
TNMD	0.000
DPM1	6.221
SCYL3	2.227
FIRRM	4.073
FGR	0.000
CFH	4.024
FUCA2	6.038
GCLC	7.072
NFYA	3.639
STPG1	2.440
NIPAL3	2.390
LAS1L	6.090
ENPP4	1.003
SEMA3F	1.396
CFTR	0.045
ANKIB1	4.409
CYP51A1	5.920
KRIT1	4.797
RAD52	3.019
MYH16	0.225
BAD	5.788
LAP3	5.052
CD99	7.348
HS3ST1	0.222
AOC1	0.011
WNT16	0.061
HECW1	2.859
MAD1L1	3.263
LASP1	7.748
SNX11	4.724
TMEM176A	0.053
M6PR	7.239
KLHL13	0.925
CYP26B1	3.129
ICA1	0.494
DBNDD1	4.977
ALS2	4.104
CASP10	2.032
CFLAR	6.528
TFPI	5.273
NDUFAF7	4.486
RBM5	5.116
MTMR7	0.939
SLC7A2	1.466
ARF5	6.309
SARM1	2.168
POLDIP2	6.354
PLXND1	4.868
AK2	7.321
CD38	2.788
FKBP4	7.198
KDM1A	5.737
RBM6	4.165
CAMKK1	2.771
RECQL	6.178
VPS50	3.759
HSPB6	0.047
ARHGAP33	1.234
NDUFAB1	6.861
PDK4	1.671
SLC22A16	0.000
ZMYND10	0.227
ABCB5	0.000
ARX	0.242
SLC25A13	5.246
ST7	4.128
CDC27	6.462
SLC4A1	0.000
CALCR	0.000
HCCS	5.516
DVL2	4.449
PRSS22	0.183
UPF1	3.850
SKAP2	4.335
SLC25A5	9.481
MCUB	3.477
HOXA11	0.810
POLR2J	5.915
DHX33	4.393
MEOX1	0.000
THSD7A	2.806
LIG3	5.052
RPAP3	5.724
ACSM3	2.386
REXO5	2.064
CIAPIN1	6.253
SPPL2B	3.148
ATOSB	2.546
COPZ2	3.822
PRKAR2B	1.920
MSL3	4.772
CREBBP	3.283
TSPOAP1	0.021
MPO	0.000
PON1	1.183
GCFC2	4.377
WDR54	5.509
CROT	3.616
ABCB4	0.000
KMT2E	3.950
RHBDD2	5.648
SOX8	0.115
IBTK	5.300
ZNF195	4.480
MYCBP2	3.369
FBXL3	4.487
ITGAL	0.285
PDK2	3.591
ITGA3	7.386
ZFX	3.575
LAMP2	5.918
ITGA2B	1.024
ASB4	0.319
GDE1	6.471
REX1BD	3.687
CRLF1	1.927
OSBPL7	1.880
TMEM98	6.136
YBX2	0.653
KRT33A	0.000
MAP3K14	5.306
ABCC8	0.699
CACNG3	0.000
TMEM132A	5.253
AP2B1	6.959
TAC1	0.000
ZNF263	4.706
CX3CL1	0.079
SPATA20	5.753
CACNA1G	2.528
TNFRSF12A	8.073
DLX6	0.049
MAP3K9	1.828
RALA	4.615
BAIAP2L1	5.382
KDM7A	1.291
ETV1	1.217
AGK	5.419
ALDH3B1	5.392
TTC22	0.000
PHTF2	4.409
CCL26	2.396
FARP2	4.096
USH1C	1.590
GGCT	6.479
DBF4	4.976
TBXA2R	0.616
IFRD1	5.826
LGALS14	0.000
COX10	4.254
GTF2IRD1	2.491
PAF1	5.757
VPS41	4.507
ARHGAP44	1.767
ELAC2	6.651
SCIN	0.073
ARSD	2.854
PNPLA4	3.295
MYH13	0.000
ADIPOR2	5.944
CDKL3	1.515
UPP2	0.000
PRSS21	0.321
MARK4	2.536
PROM1	0.084
CCDC124	5.949
CEACAM21	0.000
PAFAH1B1	7.039
NOS2	0.168
DNAH9	0.033
BLTP2	6.271
SLC13A2	0.000
GAS7	0.980
TRAPPC6A	3.806
MATK	0.071
CEACAM7	0.013
CD79B	0.096
SCN4A	0.090
ST7L	3.598
TKTL1	0.000
PAX6	0.830
RPUSD1	4.361
RHBDF1	3.515
LUC7L	5.325
CACNA2D2	0.358
BAIAP3	0.148
TSR3	5.262
PIGQ	4.194
CRAMP1	2.516
TEAD3	1.608
SELE	0.000
DNAJC11	4.544
FMO3	0.000
MYLIP	1.662
NOX1	0.292
E2F2	1.565
PSMB1	7.753
SYN1	0.000
JARID2	2.208
CDKL5	2.420
CAMK1G	0.134
CDK11A	3.785
NADK	4.244
TFAP2B	0.000
TFAP2D	0.000
DLEC1	0.050
CYTH3	4.041
ADAM22	0.184
SYPL1	7.177
CYB561	4.338
SPAG9	6.137
CELSR3	1.593
AASS	0.077
PLEKHG6	0.860
SS18L2	4.081
MPND	2.155
MGST1	10.096
CRY1	4.357
PGLYRP1	0.000
NFIX	0.858
ST3GAL1	2.087
MMP25	0.256
IL32	4.425
PKD1	3.490
MAPK8IP2	0.673
MED24	5.619
RHOBTB2	3.039
HEATR5B	3.431
SEC62	6.751
RPS20	10.886
CSDE1	7.504
UBE3C	5.637
REV3L	2.497
TENM1	0.008
PAX7	0.193
MASP2	0.284
IYD	0.004
FAM76A	2.135
TRAF3IP3	0.258
POMT2	4.444
VTA1	6.074
MLXIPL	0.807
BAZ1B	5.506
RANBP9	4.086
ETV7	0.041
SPRTN	3.971
METTL13	5.416
DYRK4	4.740
ZNF207	7.993
UQCRC1	7.103
STARD3NL	6.055
CD9	7.484
HHATL	0.000
NCAPD2	6.488
IFFO1	0.945
GIPR	0.576
PHF7	0.979
SEMA3G	0.217
NISCH	3.241
STAB1	0.003
FUZ	2.972
SLC6A13	0.471
IDS	5.617
PRSS3	2.947
ZNF200	3.208
CD4	0.228
LRRC23	3.976
BTK	0.085
HFE	4.341
SCMH1	2.963
FYN	1.678
HIVEP2	1.342
FMO1	0.000
ELOA	3.835
LYPLA2	4.974
CLCN6	2.355
MRC2	3.557
SLC6A7	0.000
TSPAN9	3.306
BTBD7	3.374
APBA3	3.049
MKS1	3.186
ABHD5	3.891
ANOS1	0.032
AKAP8L	4.026
MBTD1	2.776
UTP18	6.174
RNF216	3.755
TTC19	4.818
PTBP1	7.629
DPF1	1.258
SYT7	0.604
LARS2	3.270
PIK3C2A	4.213
PLAUR	5.007
ANLN	6.672
WIZ	3.008
RABGAP1	3.808
DCN	0.069
QPCTL	2.938
PPP5C	6.111
CEP68	2.491
MAP4K3	4.361
ZBTB32	0.145
TYROBP	0.171
LDAF1	3.513
GABRA3	0.133
BRCA1	5.045
ERCC1	5.965
CD22	0.245
SEMA3B	1.510
MBTPS2	5.093
PRICKLE3	2.827
LTF	0.000
EXTL3	3.197
NR1H4	0.165
ELOVL5	6.380
ALOX5	0.103
KDM5D	3.581
CALCOCO1	4.047
UBR7	4.555
MAP4K5	4.515
EHD3	2.852
PSMC4	7.919
MAN2B2	2.270
SLC7A14	0.011
CLDN11	0.366
SLC25A39	6.758
MVP	5.681
NUB1	5.460
PGM3	4.849
RWDD2A	1.169
CLK1	5.347
POLR3B	2.679
ANGEL1	2.891
RNF14	5.943
DNASE1L1	4.310
DDX11	4.677
HEBP1	5.203
GPRC5A	8.167
MAMLD1	1.473
CD6	0.108
TACC3	5.486
UFL1	3.463
POLA2	4.889
ZC3H3	2.755
CAPN1	6.168
ACP3	0.000
MDH1	8.185
SLC30A9	4.737
MTMR11	2.964
COX15	4.757
CCDC88C	2.162
YAF2	5.108
ZMYND11	5.296
WAS	0.113
DPEP1	1.336
BID	5.294
MATR3	7.751
NPC1L1	0.038
XYLT2	3.495
RGPD5	3.861
STMN4	0.022
NUDCD3	5.182
ISL1	0.054
CHDH	1.140
IL20RA	0.024
CLCA1	0.000
CLCA4	0.000
GLT8D1	5.344
ATP2C1	5.522
IGF1	0.068
SLC38A5	0.118
RALBP1	4.582
RUFY3	3.025
CNTN1	6.002
SLC11A1	0.191
WWTR1	6.064
AGPS	6.361
STEEP1	4.339
ATP1A2	0.071
TTC27	4.691
ZNF582	1.326
VSIG2	0.031
PHLDB1	2.744
MARCO	0.160
CYP24A1	8.714
PRDM11	1.768
SYT13	3.748
SNAI2	0.760
CD74	0.351
HGF	0.239
ZRANB1	2.862
NCDN	3.231
ADGRA2	0.722
ZFP64	3.398
MNAT1	5.462
SAMD4A	2.467
RUNX3	1.537
MRE11	3.991
PLEKHB1	0.704
SERPINB1	5.564
CYP3A43	0.000
SLC7A9	0.210
SPAST	4.537
NRXN3	0.406
OSBPL5	1.576
AQR	5.215
CPS1	3.089
C8B	0.000
FHL1	4.151
RTF2	6.124
GABRA1	0.000
NLRP2	4.899
SLC45A4	3.169
RNF10	6.832
ZNF839	2.466
ZDHHC6	5.072
GRAMD1B	4.919
RNH1	6.605
NDUFS1	6.209
RB1CC1	4.265
ERP44	3.837
ALAS1	5.548
BIRC3	5.089
AKAP11	3.408
GLRX2	5.190
SNAPC1	4.255
DERA	5.947
STRAP	7.956
ABCC2	7.122
DEF6	0.101
PLEKHO1	2.364
GCLM	6.501
UBR2	2.551
EHD2	5.861
DEPDC1	4.629
CCDC28A	3.292
RRAGD	1.161
HSF2	3.132
PHF20	4.726
HSD17B6	2.113
NR1H3	3.116
TYMP	2.509
NCAPH2	4.263
TOMM34	4.896
SEC63	5.408
KPNA6	4.078
VIM	9.525
FAS	4.370
RNASET2	3.236
CD44	7.207
KCNG1	2.366
AGPAT4	1.244
SLAMF7	0.661
BTN3A1	2.183
MIPEP	3.852
PRKCH	2.627
INSRR	0.005
IFNGR1	5.423
B4GALT7	3.663
SH2D2A	1.552
VRK2	5.000
TNFRSF1B	0.109
VEZT	6.951
POU2F2	0.317
BRD9	4.111
SNX1	5.639
TBPL1	4.462
BMAL2	4.059
BCLAF1	6.195
SLC39A9	5.153
ANK1	0.886
IBSP	0.000
TFB1M	2.882
RABEP1	5.017
HMGB3	7.273
NUP160	5.184
BAK1	3.893
MUSK	0.000
IKZF2	0.112
GRN	6.717
FAM13B	3.718
ARHGAP31	0.577
CENPQ	3.553
SARS1	6.381
RANBP3	5.041
ARID4A	2.602
EIPR1	5.114
PNPLA6	4.521
IFT88	3.580
ALG1	4.922
ZCCHC8	4.913
ABCF2	5.552
CHPF2	4.014
LRRC7	0.077
FUT8	4.104
UBA6	4.144
GAB2	1.507
ATP6V0A1	4.911
PIAS1	4.459
SLC4A7	5.260
APBA2	2.791
MAP2K3	5.231
CLXN	0.000
TMSB10	11.138
ASTE1	2.217
RNF19A	4.825
PEX3	3.049
GABARAPL2	6.916
MYOC	0.000
SH3YL1	2.768
FAM136A	7.059
VCL	6.844
DEPDC1B	4.639
DAPK2	1.571
NSMAF	5.200
ADSS2	5.717
STAP1	0.016
TIMP2	6.978
RFC1	5.158
TBC1D23	4.040
CUL3	6.195
MYOM2	2.067
OTC	0.000
CYP46A1	0.068
ZZZ3	3.853
SLC18A1	0.000
USP2	0.726
CASR	0.000
TUBG2	3.567
RPL26L1	6.870
FLT4	1.481
NSUN2	6.654
FBXO42	2.467
MFAP3	4.446
MRI1	2.972
METTL1	5.266
HOXC8	2.558
AGA	4.214
PI4K2B	3.088
BOD1L1	3.791
MAT2B	5.965
TLL1	0.086
EDC4	5.253
TRIO	5.592
VCAN	3.748
CLEC16A	2.912
MSR1	0.028
CDH1	2.906
MTREX	5.340
DNAH5	0.857
ZFYVE16	4.298
RIPOR1	3.711
C6	0.000
RAI14	6.280
SOX30	0.032
PNKP	4.244
BEST2	0.032
PHLPP2	2.780
SPDL1	6.381
STAU2	5.009
SLC66A1	3.238
CTNS	3.919
RTN4R	1.611
PHF23	5.597
CDH10	0.276
INPP4A	2.811
RAB27B	2.935
PSMA4	9.513
MYO16	0.016
LSG1	5.122
PARP3	2.714
TNC	0.190
THAP3	3.470
RIPOR3	0.060
TDP1	3.664
AIFM2	4.679
SPATA7	2.238
MED17	4.323
RETSAT	5.043
CAPG	5.852
AP2S1	7.609
USH2A	0.001
ZPBP	0.000
TG	0.057
ADAM28	0.101
BARX2	0.015
DCUN1D1	4.448
JADE2	3.500
ZIC2	1.800
LCP2	0.068
TRIT1	4.420
ADRB1	0.770
GUCA2B	0.964
CUL7	2.600
CTNNA1	7.837
PHKA2	3.155
CNTLN	3.096
EPHA3	0.005
HSPA5	8.818
DSG2	5.681
GEMIN8	3.705
OFD1	2.907
GPM6B	0.339
MAGEC2	0.065
PREX2	0.000
WDR37	2.042
YTHDC2	4.303
CTPS2	3.509
ATP6V1H	4.956
POLR2B	6.038
ATOSA	3.286
ARAP2	0.284
TPR	5.541
CP	1.801
KATNIP	3.097
DTNBP1	2.827
XK	0.901
ANO2	0.000
FERRY3	3.959
SCML1	2.741
WWC3	4.003
ARHGAP6	0.098
FAM184B	0.000
MAP4	5.955
GOPC	4.762
ROS1	0.165
USP28	4.143
HDAC9	0.096
TSPAN17	4.853
NOP16	6.706
CC2D2A	3.737
RRM2B	4.828
ZNF800	2.950
TNFRSF17	0.000
SNX29	1.078
LMO3	0.278
MRPS10	5.326
GUCA1A	0.000
RSF1	4.239
VPS13D	2.948
CELF2	0.031
FAM120A	5.876
R3HDM1	4.707
COL9A2	0.119
KITLG	2.842
ERCC8	4.383
ADAMTS6	0.299
H6PD	1.863
VAMP3	6.003
PER3	1.138
UTS2	0.277
TNFRSF9	2.204
EPN3	0.391
LTBP1	4.470
RCN1	7.508
ELN	0.065
RFC2	5.698
ARID1B	3.791
CLPTM1L	7.516
NEDD4L	4.534
FOXP3	0.051
PPP1R3F	1.311
HEXB	6.329
PTCD2	4.022
