gene,HCT 116,A549,PC-3,K-562,SK-N-SH,NCI-H929,Hep G2,MCF7,PANC-1
TSPAN6,4.23441701271506,4.59977600276602,4.79890073861798,0.103876265990768,3.97066962537909,0.146547048517248,5.32555191786553,2.76171291160306,2.03997358135711
TNMD,0,0,0,0.0318863630231514,0,0,0,0,0
DPM1,6.73603656016872,6.22130097045487,6.44123114523965,6.48491792980034,6.47824056800154,8.35180056456783,7.1102066199214,7.6544856653781,6.36301859764703
SCYL3,2.94524436195148,2.22727899446832,1.5478594312333,2.7840327791596,2.6544217920978,3.74252367681234,1.60514819723576,2.88074233087214,2.4411301991435
FIRRM,4.59831755939022,4.07265464067569,3.76630892638461,4.59615993268286,3.97297748923654,4.06633033723499,3.19487817357302,3.42200688896593,3.6937768612863
FGR,0,0,0,0.053326855523684,0,4.02162185785152,0.0231389382620322,0.0113052706828703,0
CFH,0.0699193449624185,4.02448812564064,1.74671262349344,6.64323714080668,1.77840624993074,0.143098187872489,0.0801705436427594,0.0689789195396574,0.108438812513116
FUCA2,6.15843397922123,6.03840545206494,5.83426624543992,6.19869254985416,6.26176961491342,4.00478900369711,6.88904758283903,6.9676297534662,6.08943247214389
GCLC,6.17876442962612,7.0723202160327,4.70268524464265,4.26491919732044,4.06348568508523,4.1122580833154,5.78215691012413,5.45011589678713,5.20923889501993
NFYA,4.69856299445306,3.63931321125587,4.05131119051188,3.99038311323472,4.72410997840756,3.52571811400169,4.02772025835593,4.42049587636142,4.10731124662749
STPG1,2.70744527704055,2.43993424745667,2.58271254740481,3.07735410268463,3.18482616153802,1.94811114509004,1.26997866980907,1.52002490262975,2.28018726523799
NIPAL3,2.49789334127367,2.38961636913815,4.26725861819072,3.96841336342508,3.87516078993446,4.08517818046223,2.17588862208896,2.6312533182231,2.49126050787973
LAS1L,5.85815510298828,6.08980108160164,5.38883357669627,5.52758021957443,5.13130960990202,5.02746372340858,4.54533828763841,5.4045795963782,5.83470110436586
ENPP4,3.90105995923998,1.00347990822383,2.78289916557061,0.0846126568709973,0.281583126600604,4.1004142477081,0.141761054990661,2.94070801202677,2.11983754846302
SEMA3F,3.03792510738323,1.39635680468817,5.33660831475825,0.996011209929991,4.202260983562,0.494499583813983,3.66941234001368,4.60292596723625,5.16037568743582
CFTR,0.319087230011182,0.0452891869309745,0.0203564044030907,0,0.110066521511107,0.116010693985934,0.0522698086652072,0.010136747479718,0
ANKIB1,4.72282118975617,4.40924835687669,4.40281084202721,3.96537796452601,5.49206467608687,3.49886356361895,3.40203722521267,4.79914948986492,4.90512943313095
CYP51A1,6.37781264854669,5.91998119074228,5.63365788516043,6.91858897991922,5.25873749831082,4.7464686378714,6.37868154607579,6.29995710930269,6.18270024185027
KRIT1,4.64185811685252,4.79721535611064,4.29770500089178,5.136560545586,5.44526983054912,4.24726675968811,3.97166310300877,5.00833897609843,5.02475848539392
RAD52,4.05502207606218,3.01895813886975,2.77421144780589,2.93384642220372,2.88080109294369,2.6023974911954,2.5521015898947,3.09846166832229,2.78725901305862
MYH16,0.742428821949173,0.225204582887332,1.43486571071822,0.346371468885675,1.11595877523187,0.031625275082521,0.0373639465786494,0.114678853272526,0.129710321149203
BAD,5.21148730097747,5.78793389360408,6.52070510217717,5.02340174381608,5.99382831345886,4.72519036279276,4.02306901433936,5.65156551491589,5.77231853328511
LAP3,6.36198762398193,5.05198107241094,4.6981017685891,5.59444105998846,5.69038357008389,6.04168324197946,6.11512690518288,5.63499976774549,6.08733129541134
CD99,5.2380416313059,7.34777194131318,6.88094260177704,5.4111787697605,7.21898454090767,3.13688204738775,7.4755064723223,6.53019094098997,5.76265178168356
HS3ST1,4.14990154056836,0.222479392615948,0.603482735905726,0,0.00460925325258967,0.287797322932748,0.00403533995054651,0.0116788265773795,0.277732476709967
AOC1,0.151931533996333,0.0108313882257856,0.0365610052216634,0,0.120418300156448,0.0203251094689596,0.00937870623245386,0.595947571813084,0.00796760315062608
WNT16,6.12492568736238,0.0606049795962089,0.0469463924313408,0.338700518623318,0.242496414785966,0.116919635056478,0.0119621493003519,0.066063006381807,0.31343626335561
HECW1,1.75692080298581,2.85871310144327,1.23725777090037,0.886629742096419,0.0651545381649375,0.126132360516371,0.0823292658281445,0,0.975702080809786
MAD1L1,3.74033395858029,3.26276086896912,3.17925943250678,4.42423012718623,4.23372703611687,2.10401117794164,3.96847787704497,3.95454065455719,4.12937369778331
LASP1,6.89096948977447,7.74774319548744,5.65907969530102,6.60085697787845,6.67694435910691,4.62414769662779,6.45787332248643,5.48348367739161,6.31943729701049
SNX11,4.87897051015108,4.72445928206268,3.75544309992281,4.28352179113617,4.74767204333983,3.73543552634358,3.55712821445652,5.26403718114869,4.8395565437543
TMEM176A,0.254586787214187,0.0531516618296545,0,0.312629163812484,0.581116925788156,0.0416565235755435,0.0331276483279279,0,0.0154162121178871
M6PR,6.98995642407731,7.23936939819452,6.00032907727225,6.21267438563611,7.40010239126773,5.78555578267626,5.98478072488217,6.38676612016509,7.36633095782563
KLHL13,2.80792570416934,0.92458716435335,1.72040981236853,1.91477498089397,6.30085404136522,0.856398535813372,0.420260328285274,1.39745251139765,0.191868338277817
