threshold,tissue_simple,median_normal,median_tumor,delta_median,FDR,stars
0.5,Cervix,6.85988498342663,57.4901349830752,50.6302499996486,3.24698376774237e-28,***
0.5,Bladder,24.7251510778627,36.6398058026295,11.9146547247667,0.0102660228250795,*
0.5,Rectum,14.9002099819772,19.8402869715363,4.94007698955916,0.070218980824502,ns
0.5,Liver,7.81988355231996,10.9250915930425,3.10520804072255,4.23343953303083e-07,***
0.5,Kidney,21.0500676992897,22.3095552559276,1.2594875566379,0.070218980824502,ns
0.5,Brain,7.03005911648907,5.86999347670981,-1.16006563977926,6.61822015232423e-06,***
0.5,Thyroid,33.550390945579,31.8195870869446,-1.73080385863437,0.0016818897754688,**
0.5,Colon,23.7996681626742,21.8901829830592,-1.90948517961507,0.0841402207685461,ns
0.5,Breast,26.7904217659089,24.5698892585733,-2.22053250733561,9.98033694514705e-05,***
0.5,Skin,38.7000961726854,30.4398899703615,-8.26020620232392,5.27492477934941e-05,***
0.5,Prostate,25.4546319581215,15.7803025630664,-9.67432939505503,9.510325781488261e-23,***
0.5,Lung,47.1346285047939,35.7495013325988,-11.3851271721952,2.60068819008503e-10,***
0.5,HeadNeck,90.1300837184855,77.8895231541373,-12.2405605643482,0.768559105737211,ns
0.5,Uterus,41.3212465549447,21.400519026057,-19.9207275288877,4.710493659933e-19,***
0.5,Ovary,45.1793800586692,16.6649609888691,-28.5144190698001,6.44837027495945e-31,***
0.6,Cervix,6.85988498342663,57.8699392060166,51.01005422259,3.1979014210139598e-28,***
0.6,Bladder,24.7251510778627,36.5699260142345,11.8447749363717,0.0101457991776667,*
0.6,Rectum,14.9002099819772,19.8900301850274,4.98982020305028,0.070350158106302,ns
0.6,Liver,7.81988355231996,10.9250915930425,3.10520804072255,3.76117951079145e-07,***
0.6,Kidney,21.1100138043562,22.0846063192276,0.97459251487135,0.197993607994853,ns
0.6,Brain,7.03005911648907,5.85994550943763,-1.17011360705143,3.23181693810749e-06,***
0.6,Thyroid,33.5802388548087,31.880056319557,-1.70018253525171,0.0019565522303134,**
0.6,Colon,23.8293320916934,21.659669334295,-2.16966275739846,0.070350158106302,ns
0.6,Breast,27.4596757874315,24.2795574854053,-3.18011830202613,2.79706181544089e-05,***
0.6,Skin,38.7000961726854,30.4398899703615,-8.26020620232392,4.13571320562018e-05,***
0.6,Prostate,25.4546319581215,15.7796819838197,-9.67494997430179,9.47834450712296e-23,***
0.6,Lung,48.0799396616456,36.8594441233666,-11.220495538279,3.46665112794438e-09,***
0.6,HeadNeck,93.2599038633016,78.1555966207333,-15.1043072425684,0.847755861116264,ns
0.6,Uterus,41.3212465549447,21.3703941865193,-19.9508523684255,3.8418236922870202e-19,***
0.6,Ovary,45.1793800586692,16.7000987740369,-28.4792812846323,8.815058764034331e-31,***
0.8,Cervix,6.80990436097255,57.6800370945459,50.8701327335734,1.24687660114564e-26,***
0.8,Bladder,27.1600935592257,35.2500355154766,8.08994195625091,0.0796184790460982,ns
0.8,Rectum,15.0103510986309,18.1997035790668,3.18935248043591,0.280566337650522,ns
0.8,Liver,8.01015949844485,10.9098799157226,2.89972041727776,2.8290887515091e-05,***
0.8,Brain,7.03005911648907,5.63994352155042,-1.39011559493865,2.78070730233115e-09,***
0.8,Thyroid,33.8898099086236,32.3601318211541,-1.52967808746958,0.0018902239421053,**
0.8,Kidney,21.8701012761639,20.3099788103295,-1.56012246583439,0.236162772964898,ns
0.8,Colon,24.2704134841648,21.1700304178961,-3.10038306626869,0.0016869326511845,**
0.8,Skin,38.7206748113339,32.870120960773,-5.85055385056085,0.0068184346847878,**
0.8,Breast,29.810435181253,21.739405759591,-8.07102942166203,6.58912763765167e-12,***
0.8,Prostate,25.2493732207967,15.6903897890889,-9.55898343170784,7.561142950371961e-23,***
0.8,HeadNeck,94.0510939043035,84.005720183852,-10.0453737204515,0.397176652198155,ns
0.8,Lung,51.009880511421,39.4492139807216,-11.5606665306994,1.07153407060755e-06,***
0.8,Uterus,41.3212465549447,21.3703941865193,-19.9508523684255,1.5013402744993e-18,***
0.8,Ovary,45.1793800586692,16.6649609888691,-28.5144190698001,4.59651383947987e-29,***
