ModelID	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	Gene	GeneEffect
ACH-000029	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	MICA	-0.0273833090669459
ACH-000029	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	MICB	-0.228189328029678
ACH-000029	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP1	0.178797672295853
ACH-000029	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP2	-0.244830078385481
ACH-000029	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP3	-0.134322920165142
ACH-000029	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP4	0.140565094678421
ACH-000029	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP5	-0.16173747132637
ACH-000029	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP6	-0.0275894289536958
ACH-000030	PC-14	PC14	PC14_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	MICA	0.00514179138271313
ACH-000030	PC-14	PC14	PC14_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	MICB	-0.146845164135827
ACH-000030	PC-14	PC14	PC14_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP1	0.154562068086152
ACH-000030	PC-14	PC14	PC14_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP2	-0.0943283561944865
ACH-000030	PC-14	PC14	PC14_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP3	0.0467019695896964
ACH-000030	PC-14	PC14	PC14_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ULBP4	0.218600675029273
