	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low
AC023509.3	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	2.0194818935985858e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5	1.4950827528798015e-5
AC138696.1	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	1.888870139518034e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5	2.045599594068728e-5
AHR	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.2994064053469855e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4	3.9340683262206733e-4
AIRE	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	2.9812513385812105e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5	4.404296396496401e-5
ALX1	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	7.763610807356464e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5	1.074221225484048e-5
ALX3	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	1.1906510644880164e-4	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5	6.101057439826072e-5
ALX4	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.596241546165021e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5	3.0079288075631662e-5
ANHX	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.8406069310692002e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5	1.7585317671313627e-5
AR	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	6.014472989516205e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4	3.1037178668697954e-4
ARGFX	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.647198520292286e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5	1.8807282600364996e-5
