"file_name","file_accession","TF","cell_line","gene_name","n_overlapping_peaks"
"ENCFF001TRO.bed.gz","ENCFF001TRO","CEBPB","A549",NA,0
"ENCFF001TRP.bed.gz","ENCFF001TRP","CEBPB","A549",NA,0
"ENCFF001TSL.bed.gz","ENCFF001TSL","GATA3","A549",NA,0
"ENCFF001TSM.bed.gz","ENCFF001TSM","GATA3","A549",NA,0
"ENCFF001TTD.bed.gz","ENCFF001TTD","PBX3","A549",NA,0
"ENCFF001TTE.bed.gz","ENCFF001TTE","PBX3","A549",NA,0
"ENCFF001TUH.bed.gz","ENCFF001TUH","CEBPB","Ishikawa",NA,0
"ENCFF001TUI.bed.gz","ENCFF001TUI","CEBPB","Ishikawa",NA,0
"ENCFF001TUJ.bed.gz","ENCFF001TUJ","CREB1","Ishikawa",NA,0
"ENCFF001TUK.bed.gz","ENCFF001TUK","CREB1","Ishikawa",NA,0
"ENCFF001UDK.bed.gz","ENCFF001UDK","ATF3","HCT116",NA,0
"ENCFF001UDL.bed.gz","ENCFF001UDL","ATF3","HCT116",NA,0
"ENCFF001UDO.bed.gz","ENCFF001UDO","CEBPB","HCT116",NA,0
"ENCFF001UDP.bed.gz","ENCFF001UDP","CEBPB","HCT116",NA,0
"ENCFF001UDW.bed.gz","ENCFF001UDW","FOSL1","HCT116",NA,0
"ENCFF001UDX.bed.gz","ENCFF001UDX","FOSL1","HCT116",NA,0
"ENCFF001UDY.bed.gz","ENCFF001UDY","JUND","HCT116",NA,0
"ENCFF001UDZ.bed.gz","ENCFF001UDZ","JUND","HCT116",NA,0
"ENCFF001UEK.bed.gz","ENCFF001UEK","SP1","HCT116","ULBP3",1
"ENCFF001UEL.bed.gz","ENCFF001UEL","SP1","HCT116","ULBP3",1
"ENCFF001UFE.bed.gz","ENCFF001UFE","ATF3","HepG2",NA,0
"ENCFF001UFF.bed.gz","ENCFF001UFF","ATF3","HepG2",NA,0
"ENCFF001UFI.bed.gz","ENCFF001UFI","CEBPB","HepG2",NA,0
"ENCFF001UFJ.bed.gz","ENCFF001UFJ","CEBPB","HepG2",NA,0
"ENCFF001UFM.bed.gz","ENCFF001UFM","CREB1","HepG2","ULBP3",2
"ENCFF001UFN.bed.gz","ENCFF001UFN","CREB1","HepG2",NA,0
"ENCFF001UFS.bed.gz","ENCFF001UFS","FOSL2","HepG2","MICB",1
"ENCFF001UFS.bed.gz","ENCFF001UFS","FOSL2","HepG2","ULBP3",1
"ENCFF001UFT.bed.gz","ENCFF001UFT","FOSL2","HepG2","ULBP3",1
"ENCFF001UGK.bed.gz","ENCFF001UGK","JUND","HepG2","ULBP3",1
"ENCFF001UGL.bed.gz","ENCFF001UGL","JUND","HepG2","ULBP3",1
"ENCFF001UGQ.bed.gz","ENCFF001UGQ","MYBL2","HepG2","MICB",1
"ENCFF001UGQ.bed.gz","ENCFF001UGQ","MYBL2","HepG2","ULBP3",2
"ENCFF001UGR.bed.gz","ENCFF001UGR","MYBL2","HepG2","MICB",1
"ENCFF001UGR.bed.gz","ENCFF001UGR","MYBL2","HepG2","ULBP3",3
"ENCFF001UHM.bed.gz","ENCFF001UHM","SP1","HepG2","ULBP3",2
"ENCFF001UHN.bed.gz","ENCFF001UHN","SP1","HepG2",NA,0
"ENCFF001UIW.bed.gz","ENCFF001UIW","ATF3","K562","ULBP3",1
"ENCFF001UIY.bed.gz","ENCFF001UIY","ATF3","K562","ULBP3",1
"ENCFF001UJE.bed.gz","ENCFF001UJE","CEBPB","K562",NA,0
"ENCFF001UJF.bed.gz","ENCFF001UJF","CEBPB","K562",NA,0
"ENCFF001UJI.bed.gz","ENCFF001UJI","CREB1","K562","ULBP3",1
"ENCFF001UJJ.bed.gz","ENCFF001UJJ","CREB1","K562",NA,0
"ENCFF001UJV.bed.gz","ENCFF001UJV","ETS1","K562","ULBP3",1
"ENCFF001UJW.bed.gz","ENCFF001UJW","ETS1","K562","ULBP3",2
"ENCFF001UJX.bed.gz","ENCFF001UJX","FOSL1","K562","ULBP3",1
"ENCFF001UJY.bed.gz","ENCFF001UJY","FOSL1","K562","ULBP3",1
"ENCFF001ULF.bed.gz","ENCFF001ULF","SP1","K562",NA,0
"ENCFF001ULG.bed.gz","ENCFF001ULG","SP1","K562",NA,0
"ENCFF001UMJ.bed.gz","ENCFF001UMJ","CEBPB","MCF-7",NA,0
"ENCFF001UMK.bed.gz","ENCFF001UMK","CEBPB","MCF-7",NA,0
"ENCFF001UMR.bed.gz","ENCFF001UMR","FOSL2","MCF-7",NA,0
"ENCFF001UMS.bed.gz","ENCFF001UMS","FOSL2","MCF-7",NA,0
"ENCFF001UMX.bed.gz","ENCFF001UMX","GATA3","MCF-7","ULBP3",1
"ENCFF001UMZ.bed.gz","ENCFF001UMZ","GATA3","MCF-7",NA,0
"ENCFF001UNB.bed.gz","ENCFF001UNB","JUND","MCF-7",NA,0
"ENCFF001UNC.bed.gz","ENCFF001UNC","JUND","MCF-7",NA,0
"ENCFF001UPB.bed.gz","ENCFF001UPB","FOSL2","SK-N-SH","RAET1L",1
"ENCFF001UPC.bed.gz","ENCFF001UPC","FOSL2","SK-N-SH",NA,0
"ENCFF001UPH.bed.gz","ENCFF001UPH","GATA3","SK-N-SH",NA,0
"ENCFF001UPI.bed.gz","ENCFF001UPI","GATA3","SK-N-SH",NA,0
"ENCFF001UPJ.bed.gz","ENCFF001UPJ","JUND","SK-N-SH",NA,0
"ENCFF001UPK.bed.gz","ENCFF001UPK","JUND","SK-N-SH",NA,0
"ENCFF001UPX.bed.gz","ENCFF001UPX","PBX3","SK-N-SH","MICB",1
"ENCFF001UPX.bed.gz","ENCFF001UPX","PBX3","SK-N-SH","RAET1L",1
"ENCFF001UPY.bed.gz","ENCFF001UPY","PBX3","SK-N-SH","MICB",1
"ENCFF001UPY.bed.gz","ENCFF001UPY","PBX3","SK-N-SH","RAET1L",1
"ENCFF001URN.bed.gz","ENCFF001URN","JUND","T47D",NA,0
"ENCFF001URO.bed.gz","ENCFF001URO","JUND","T47D",NA,0
"ENCFF001VDN.bed.gz","ENCFF001VDN","CEBPB","A549","RAET1G",1
"ENCFF001VHZ.bed.gz","ENCFF001VHZ","FOS","HeLa-S3",NA,0
"ENCFF001VIA.bed.gz","ENCFF001VIA","CEBPB","HeLa-S3","RAET1L",1
"ENCFF001VIA.bed.gz","ENCFF001VIA","CEBPB","HeLa-S3","ULBP3",1
"ENCFF001VIC.bed.gz","ENCFF001VIC","JUN","HeLa-S3",NA,0
"ENCFF001VIJ.bed.gz","ENCFF001VIJ","ELK1","HeLa-S3","ULBP3",2
"ENCFF001VIQ.bed.gz","ENCFF001VIQ","JUND","HeLa-S3","MICB",1
"ENCFF001VIR.bed.gz","ENCFF001VIR","MAFK","HeLa-S3","ULBP3",2
