"Experiment","BigWig file 1","BigWig file 2","BigWig file 3","BigWig file 4","BigWig file 5","BigWig file 6","BigWig file 7","BigWig file 8","BigWig file 9","BigWig file 10","BigWig file 11","BigWig file 12","BigWig file 13","BigWig file 14","BigWig file 15","BigWig file 16","BigWig file 17","BigWig file 18","BigWig file 19","BigWig file 20","BigWig file 21","BigWig file 22","Bed file 1","Bed file 2","Bed file 3","Bed file 4","Bed file 5","Bed file 6","Bed file 7","Bed file 8","Bed file 9","Bed file 10","Bed file 11","Bed file 12","Bed file 13","Bed file 14","Bed file 15","Bed file 16","Bed file 17","Bed file 18","Bed file 19","Bed file 20","Bed file 21","Bed file 22","Bed file 23","Bed file 24","Bed file 25","Bed file 26","Bed file 27","Bed file 28","Bed file 29","Bed file 30","Bed file 31","Bed file 32","Bed file 33","Bed file 34","Bed file 35","Bed file 36","Bed file 37","Bed file 38","Bed file 39","Bed file 40","Bed file 41","Bed file 42","Target","Tissue / cell line","Bed output type","BigWig output type"
"ENCSR267TGY","ENCFF010CTW","ENCFF235IZI","ENCFF534FTD","ENCFF685JCQ","ENCFF786ZVO","ENCFF818YLE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF023QQL","ENCFF100RHP","ENCFF393KHT","ENCFF399NFZ","ENCFF431BYW","ENCFF616CUN","ENCFF633IXH","ENCFF713SOV","ENCFF858HJD","ENCFF940DGN","ENCFF974HAU","ENCFF980RUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ARNT2","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR794LVK","ENCFF264SVL","ENCFF323KZH","ENCFF363NHH","ENCFF408YWA","ENCFF458BFT","ENCFF694BWR","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF049HEP","ENCFF153GRM","ENCFF212JXA","ENCFF217GCH","ENCFF316SKE","ENCFF343MFN","ENCFF588WBI","ENCFF657DKU","ENCFF670ROU","ENCFF682FXA","ENCFF807FJN","ENCFF985BEN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ARNTL","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR253OON","ENCFF022JFK","ENCFF042GYT","ENCFF095RQV","ENCFF194YNU","ENCFF299JHQ","ENCFF346YMC","ENCFF368XHC","ENCFF374JLE","ENCFF405UNT","ENCFF422YCK","ENCFF456QYH","ENCFF471WDT","ENCFF476YSN","ENCFF543HQF","ENCFF594KKL","ENCFF678BIR","ENCFF682JLG","ENCFF912JZP","-","-","-","-","ENCFF077EVK","ENCFF091AYC","ENCFF127AQB","ENCFF130WFH","ENCFF154SBU","ENCFF169RHQ","ENCFF214GXA","ENCFF239LTQ","ENCFF246FCW","ENCFF290XVZ","ENCFF337JAD","ENCFF342OEH","ENCFF363ZSJ","ENCFF391GUV","ENCFF418WDR","ENCFF432MWV","ENCFF491GZH","ENCFF498YES","ENCFF508KUL","ENCFF539UXY","ENCFF584NWO","ENCFF640BJX","ENCFF670QNI","ENCFF683OFC","ENCFF698OIU","ENCFF705EEN","ENCFF843PZW","ENCFF866QON","ENCFF914IWA","ENCFF947RNO","ENCFF987UMS","ENCFF990YHD","-","-","-","-","-","-","-","-","-","-","ATF1","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR000DNZ","ENCFF000YFH","ENCFF042ETN","ENCFF112QBT","ENCFF172UZP","ENCFF271JYU","ENCFF546MGJ","ENCFF885JPB","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF000YFB","ENCFF001VLX","ENCFF002CVM","ENCFF131MUF","ENCFF168FKE","ENCFF206BGR","ENCFF254UOG","ENCFF309PAY","ENCFF357ISB","ENCFF457SWX","ENCFF705LAM","ENCFF711PGY","ENCFF725LNH","ENCFF860UZX","ENCFF878PSW","ENCFF980NSF","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATF1","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks","fold change over control; signal; signal p-value"
"ENCSR085XDP","ENCFF307NOK","ENCFF516ELG","ENCFF709FVW","ENCFF804KWZ","ENCFF893YIM","ENCFF987GJY","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF036OLF","ENCFF275PYH","ENCFF401TNF","ENCFF467CEX","ENCFF469GPI","ENCFF540QUU","ENCFF793HSJ","ENCFF844NZW","ENCFF890RTG","ENCFF899JSK","ENCFF908KQA","ENCFF960YVV","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATF1","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR091GVJ","ENCFF077WVE","ENCFF090IHN","ENCFF137SSD","ENCFF180WCG","ENCFF199FSE","ENCFF308VRT","ENCFF415CUC","ENCFF437TVW","ENCFF453RDH","ENCFF490KQS","ENCFF593EFQ","ENCFF609DYE","ENCFF695KCX","ENCFF734QEM","ENCFF829DDT","ENCFF884GOV","ENCFF920QBL","ENCFF972JLW","-","-","-","-","ENCFF077HXE","ENCFF078CZP","ENCFF110UUF","ENCFF132KHC","ENCFF141JNT","ENCFF142JBX","ENCFF173BUC","ENCFF193SNN","ENCFF221MGJ","ENCFF232KAH","ENCFF234YBT","ENCFF236XAZ","ENCFF253QQP","ENCFF259RDK","ENCFF320PKO","ENCFF327MSC","ENCFF358DZO","ENCFF360VMU","ENCFF420DDS","ENCFF465UUK","ENCFF617OOI","ENCFF621JGB","ENCFF627RSK","ENCFF652IOK","ENCFF687CBZ","ENCFF694DLB","ENCFF800QOA","ENCFF817JQF","ENCFF881KZL","ENCFF884CMO","ENCFF895RKW","ENCFF951CQG","-","-","-","-","-","-","-","-","-","-","ATF1","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR159OCC","ENCFF034UVN","ENCFF145VGS","ENCFF171JNY","ENCFF278PDS","ENCFF285JRI","ENCFF303IEO","ENCFF371ACU","ENCFF452EXE","ENCFF488MSR","ENCFF655IXP","ENCFF659EGI","ENCFF665DEC","ENCFF669VAO","ENCFF773PIL","ENCFF869DSO","ENCFF901VBK","ENCFF911VQF","ENCFF953TOA","-","-","-","-","ENCFF012AHM","ENCFF012UHY","ENCFF025MSY","ENCFF030HWZ","ENCFF035SSG","ENCFF048FKQ","ENCFF089SHU","ENCFF189NGD","ENCFF217XJC","ENCFF219KKZ","ENCFF282LOA","ENCFF313YNI","ENCFF389TPP","ENCFF522YTF","ENCFF539RBU","ENCFF551NSK","ENCFF582KSF","ENCFF583CJG","ENCFF624BVW","ENCFF644UJA","ENCFF647MTJ","ENCFF676NKZ","ENCFF715PLB","ENCFF834FKS","ENCFF882VHN","ENCFF924GPK","ENCFF924IKO","ENCFF929LAL","ENCFF948LKX","ENCFF979VRQ","ENCFF982WDO","ENCFF991VTY","-","-","-","-","-","-","-","-","-","-","ATF1","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR047BUZ","ENCFF020WZU","ENCFF038AZR","ENCFF064LQT","ENCFF094SIR","ENCFF102GFZ","ENCFF162LPM","ENCFF292VLY","ENCFF302VUU","ENCFF304ESI","ENCFF348FOO","ENCFF439FZI","ENCFF560YTN","ENCFF636FZP","ENCFF688PTB","ENCFF899XCN","ENCFF927QKB","ENCFF965MLE","ENCFF965STA","-","-","-","-","ENCFF050YFJ","ENCFF086NHZ","ENCFF089BQU","ENCFF102LXY","ENCFF145FBE","ENCFF215NMU","ENCFF215TZZ","ENCFF227XIC","ENCFF310XTT","ENCFF383EBJ","ENCFF474JRH","ENCFF500CKC","ENCFF502ZTC","ENCFF515EMR","ENCFF587TVU","ENCFF641UFE","ENCFF655HJQ","ENCFF677NPO","ENCFF680ZBS","ENCFF731IFM","ENCFF737KKO","ENCFF749LDF","ENCFF750HPK","ENCFF760SZQ","ENCFF833DCJ","ENCFF884DFM","ENCFF924LKA","ENCFF952FPA","ENCFF955VER","ENCFF988QIB","ENCFF994LMJ","ENCFF995IHH","-","-","-","-","-","-","-","-","-","-","ATF2","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; optimal IDR thresholded peaks; peaks and background as input for IDR","fold change over control; signal p-value"
"ENCSR908HWZ","ENCFF378OOB","ENCFF562SBY","ENCFF570ISH","ENCFF600DDT","ENCFF695IEA","ENCFF899JAX","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF085MLO","ENCFF193MKJ","ENCFF376YOD","ENCFF448DMG","ENCFF520FIM","ENCFF522LHU","ENCFF549AAF","ENCFF578ZBI","ENCFF716DLY","ENCFF865OTB","ENCFF879THN","ENCFF902XRD","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATF2","HepG2","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
"ENCSR014ARU","ENCFF196NUG","ENCFF382OON","ENCFF592YZS","ENCFF611KGQ","ENCFF615KUV","ENCFF777WHE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF042SWX","ENCFF121HYT","ENCFF195DMR","ENCFF226QRR","ENCFF289VCS","ENCFF367LGX","ENCFF418KEX","ENCFF507XJO","ENCFF516SIV","ENCFF559LTZ","ENCFF650ZJR","ENCFF888JJI","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATF2","K562","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks","fold change over control; signal p-value"
