"Experiment","Assay","BigWig file 1","BigWig file 2","BigWig file 3","BigWig file 4","BigWig file 5","BigWig file 6","BigWig file 7","BigWig file 8","Bed file 1","Bed file 2","Bed file 3","Bed file 4","Bed file 5","Bed file 6","Bed file 7","Bed file 8","Bed file 9","Bed file 10","Bed file 11","Bed file 12","Bed file 13","Bed file 14","Bed file 15","Bed file 16","Bed file 17","Bed file 18","Bed file 19","Bed file 20","Bed file 21","Bed file 22","Bed file 23","Bed file 24","Bed file 25","Bed file 26","Bed file 27","Bed file 28","Bed file 29","Bed file 30","Bed file 31","Bed file 32","Bed file 33","Bed file 34","Bed file 35","BAM file 1","BAM file 2","BAM file 3","BAM file 4","BAM file 5","BAM file 6","Target","Tissue / cell line","Biosample type","Organism","Production laboratory","BigWig output type","Bed output type","BAM output type"
"ENCSR032RGS","ATAC-seq","ENCFF022BCI","ENCFF059JAV","ENCFF399KCR","ENCFF536RWL","ENCFF550BVZ","ENCFF561BCI","ENCFF872SDF","ENCFF950CJJ","ENCFF083PYW","ENCFF112MGJ","ENCFF125KBV","ENCFF147PDF","ENCFF149QZK","ENCFF186UJF","ENCFF237URW","ENCFF281LHR","ENCFF316ADH","ENCFF322NDK","ENCFF325MIK","ENCFF355GDU","ENCFF367DZO","ENCFF429FOV","ENCFF434KBP","ENCFF479CBZ","ENCFF491LEY","ENCFF508IHR","ENCFF545PZA","ENCFF546MNQ","ENCFF571WOQ","ENCFF633LUR","ENCFF648AEN","ENCFF674RFR","ENCFF681TUR","ENCFF682IMJ","ENCFF766FMA","ENCFF775LYB","ENCFF808YMI","ENCFF819ZZO","ENCFF876UEM","ENCFF899OMR","ENCFF948AQW","ENCFF964AUZ","ENCFF998PAN","ENCFF255FGC","ENCFF440SLA","ENCFF607DTB","ENCFF616DYV","ENCFF701BDT","ENCFF805NIW","Open chromatin","A549","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR074AHH","ATAC-seq","ENCFF089RJF","ENCFF146GJD","ENCFF174RMM","ENCFF272ATG","ENCFF305KWU","ENCFF443YXS","ENCFF587UBL","ENCFF648CHX","ENCFF007HBB","ENCFF009JLD","ENCFF020EUE","ENCFF063JPF","ENCFF095GGD","ENCFF114NUB","ENCFF129TJR","ENCFF198XJH","ENCFF281ONY","ENCFF324PYZ","ENCFF326MTY","ENCFF352JLU","ENCFF435WAN","ENCFF446CLJ","ENCFF446JPZ","ENCFF523SUX","ENCFF525WSI","ENCFF533FPU","ENCFF543NBU","ENCFF548DNV","ENCFF552QNB","ENCFF601CZY","ENCFF653ITG","ENCFF665IBA","ENCFF721NOR","ENCFF743AWX","ENCFF753XQZ","ENCFF796HNN","ENCFF797USO","ENCFF812CUZ","ENCFF834BIU","ENCFF894TJN","ENCFF957YHB","ENCFF993NEK","ENCFF997VUZ","ENCFF038OMO","ENCFF155AIU","ENCFF382ZEF","ENCFF515OFO","ENCFF533FDW","ENCFF814PZY","Open chromatin","A549","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR074AHH","ATAC-seq","ENCFF573YDE","ENCFF793QVM","ENCFF996YIQ","-","-","-","-","-","ENCFF153HNH","ENCFF198GUB","ENCFF516KEW","ENCFF552YTX","ENCFF784XTH","ENCFF846JAO","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF350EWF","ENCFF426DGP","ENCFF766EGP","-","-","-","Open chromatin","A549","cell line","Homo sapiens","Tim Reddy, Duke","signal of unique reads","peaks","alignments"
"ENCSR139OYS","ATAC-seq","ENCFF016NIS","ENCFF072EKJ","ENCFF140JCT","ENCFF255ZEC","ENCFF277LKA","ENCFF589ORK","ENCFF684UYG","ENCFF772ACX","ENCFF022BIK","ENCFF025WHO","ENCFF031OEA","ENCFF036AMC","ENCFF072BOB","ENCFF138LFW","ENCFF143XED","ENCFF148IUD","ENCFF221ELP","ENCFF233IYA","ENCFF283PWB","ENCFF422RQI","ENCFF459ADJ","ENCFF544QPA","ENCFF572KMD","ENCFF587GRY","ENCFF648DVL","ENCFF653FJA","ENCFF663LWI","ENCFF687CVS","ENCFF713USA","ENCFF748OMJ","ENCFF797JAJ","ENCFF801AMP","ENCFF804MVZ","ENCFF805MCU","ENCFF830PAO","ENCFF843MSM","ENCFF854VQD","ENCFF877GOA","ENCFF911MJB","ENCFF937SSK","ENCFF943VVV","ENCFF977HZN","ENCFF983NIT","ENCFF213AFR","ENCFF300SDO","ENCFF337AUL","ENCFF609BVS","ENCFF719AAP","ENCFF964PWC","Open chromatin","A549","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR139OYS","ATAC-seq","ENCFF258LUB","ENCFF327HNA","ENCFF900GVO","-","-","-","-","-","ENCFF145LPD","ENCFF284EEQ","ENCFF411QDI","ENCFF548YMP","ENCFF700KSJ","ENCFF729UUS","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF020COS","ENCFF758ORC","ENCFF809EKV","-","-","-","Open chromatin","A549","cell line","Homo sapiens","Tim Reddy, Duke","signal of unique reads","peaks","alignments"
"ENCSR220ASC","ATAC-seq","ENCFF103COS","ENCFF631HEX","ENCFF957GCK","-","-","-","-","-","ENCFF070PUA","ENCFF348ZZP","ENCFF550DRF","ENCFF615OFN","ENCFF801MPJ","ENCFF801YCD","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF248HDS","ENCFF597SLV","ENCFF978DQZ","-","-","-","Open chromatin","A549","cell line","Homo sapiens","Tim Reddy, Duke","signal of unique reads","peaks","alignments"
"ENCSR220ASC","ATAC-seq","ENCFF128MWE","ENCFF214BCI","ENCFF219FEP","ENCFF287TGT","ENCFF382ARH","ENCFF384EPM","ENCFF622SLI","ENCFF740PEE","ENCFF008FUL","ENCFF017EMG","ENCFF020CZM","ENCFF066DTK","ENCFF090WIC","ENCFF110LOX","ENCFF128HEP","ENCFF170LQA","ENCFF172KKV","ENCFF172ZTK","ENCFF181FFW","ENCFF194UQW","ENCFF205CPH","ENCFF278VUU","ENCFF361DAG","ENCFF381DLX","ENCFF393MMR","ENCFF447OBV","ENCFF463DJH","ENCFF472KYS","ENCFF500PRH","ENCFF516KWQ","ENCFF565SUD","ENCFF576YTC","ENCFF659YUF","ENCFF707TOV","ENCFF729EHP","ENCFF735UWS","ENCFF765ZQJ","ENCFF795ASF","ENCFF817LSC","ENCFF870ESU","ENCFF874PSE","ENCFF925PCX","ENCFF962WXN","ENCFF177WAP","ENCFF669VTY","ENCFF675QXS","ENCFF899WFS","ENCFF964ZKK","ENCFF983SKH","Open chromatin","A549","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR265ZXX","ATAC-seq","ENCFF151XYQ","ENCFF187QBL","ENCFF346DWI","-","-","-","-","-","ENCFF013HFS","ENCFF031ULO","ENCFF316KZZ","ENCFF805SKX","ENCFF901ZXK","ENCFF959XUO","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF349HIL","ENCFF714SLY","ENCFF739AIR","-","-","-","Open chromatin","A549","cell line","Homo sapiens","Tim Reddy, Duke","signal of unique reads","peaks","alignments"
"ENCSR265ZXX","ATAC-seq","ENCFF218IXD","ENCFF250JKS","ENCFF298DRI","ENCFF427RPP","ENCFF579JZL","ENCFF628BRW","ENCFF772DSI","ENCFF856XVM","ENCFF008GGX","ENCFF038RSV","ENCFF092IWQ","ENCFF097NAH","ENCFF117JPF","ENCFF139XJH","ENCFF166KGK","ENCFF187YVQ","ENCFF197CSK","ENCFF230AJN","ENCFF274FAH","ENCFF381UIP","ENCFF418FFS","ENCFF443QOP","ENCFF476BIV","ENCFF507TVT","ENCFF530DRW","ENCFF550SZX","ENCFF556RBV","ENCFF598KFV","ENCFF697PBL","ENCFF705YTQ","ENCFF747MMW","ENCFF771OGQ","ENCFF775GNK","ENCFF775WAB","ENCFF812FDR","ENCFF848NZM","ENCFF872VZW","ENCFF886VWX","ENCFF889LWS","ENCFF948RCD","ENCFF951IUF","ENCFF965ILK","ENCFF991ROR","ENCFF254AAH","ENCFF370YNA","ENCFF405HAW","ENCFF512CVK","ENCFF771KKF","ENCFF870OJR","Open chromatin","A549","cell line","Homo sapiens","ENCODE Processing Pipeline","fold change over control; signal p-value","conservative IDR thresholded peaks; IDR ranked peaks; IDR thresholded peaks; pseudoreplicated peaks; replicated peaks","alignments; unfiltered alignments"
"ENCSR288YMH","ATAC-seq","ENCFF144WKW","ENCFF441ACT","ENCFF708JWC","-","-","-","-","-","ENCFF301UHA","ENCFF307NLG","ENCFF517MNM","ENCFF723BGR","ENCFF935RQC","ENCFF995SZM","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ENCFF210BHM","ENCFF214ASZ","ENCFF590QJA","-","-","-","Open chromatin","A549","cell line","Homo sapiens","Tim Reddy, Duke","signal of unique reads","peaks","alignments"
