"Program","Program_clean","Gene","rho","p_value","n_cells","FDR"
"TCAT_CellCycle-G2M","CellCycle-G2M","MICA",0.0524162442796399,1.15389000383461e-05,6995,4.57201699632581e-05
"TCAT_CellCycle-G2M","CellCycle-G2M","MICB",0.161651121571043,3.63698482209882e-42,6995,1.90941703160188e-40
"TCAT_CellCycle-G2M","CellCycle-G2M","ULBP1",0.0118039797029173,0.323595100388686,6995,0.434665169019305
"TCAT_CellCycle-G2M","CellCycle-G2M","ULBP2",0.00497317909040533,0.677508335347726,6995,0.725901787872563
"TCAT_CellCycle-G2M","CellCycle-G2M","ULBP3",0.1055274937119,8.82681214853538e-19,6995,1.32402182228031e-17
"TCAT_CellCycle-G2M","CellCycle-G2M","NKG2DL_sum",0.151679096135694,2.83291630344264e-37,6995,9.91520706204922e-36
"TCAT_HLA","HLA","MICA",0.00505352625764949,0.672598455854696,6995,0.724336798612749
"TCAT_HLA","HLA","MICB",0.0799432157206592,2.14695686719918e-11,6995,1.61021765039938e-10
"TCAT_HLA","HLA","ULBP1",0.00420135283436126,0.72534560030234,6995,0.765440080721062
"TCAT_HLA","HLA","ULBP2",0.0340342581556206,0.00441598278943216,6995,0.0115919548222594
"TCAT_HLA","HLA","ULBP3",0.0933996224190677,4.98459258151111e-15,6995,4.98459258151111e-14
"TCAT_HLA","HLA","NKG2DL_sum",0.0773038680016573,9.54869364293779e-11,6995,6.91457125867909e-10
"TCAT_ISG","ISG","MICA",-0.0478507878380407,6.23773216111928e-05,6995,0.000238167955242736
"TCAT_ISG","ISG","MICB",-0.0275183289252792,0.0213605247314254,6995,0.0448571019359934
"TCAT_ISG","ISG","ULBP1",-6.20349368666618e-05,0.995861045074824,6995,0.995861045074824
"TCAT_ISG","ISG","ULBP2",-0.0103730603984785,0.385706023883226,6995,0.479279674647796
"TCAT_ISG","ISG","ULBP3",-0.0654130906450898,4.35578520940254e-08,6995,2.34542280506291e-07
"TCAT_ISG","ISG","NKG2DL_sum",-0.0389815541179418,0.00111050384721435,6995,0.00342949717522079
"TCAT_gdT","gdT","MICA",-0.0336272357838042,0.00491207071542977,6995,0.0127349981511142
"TCAT_gdT","gdT","MICB",-0.0146855889680552,0.219412303791331,6995,0.324482984480138
"TCAT_gdT","gdT","ULBP1",-0.0174295430193815,0.144953729621586,6995,0.225483579411356
"TCAT_gdT","gdT","ULBP2",-0.0302286295164047,0.0114606215423174,6995,0.0270419159987264
"TCAT_gdT","gdT","ULBP3",0.0735983832636264,7.14960890782329e-10,6995,5.0047262354763e-09
"TCAT_gdT","gdT","NKG2DL_sum",-0.00603402351153666,0.61385618055233,6995,0.691975602338906
"TCAT_CellCycle-S","CellCycle-S","MICA",0.0621229627626773,1.99484411184588e-07,6995,9.97422055922942e-07
"TCAT_CellCycle-S","CellCycle-S","MICB",0.131450298225594,2.45138904961609e-28,6995,4.28993083682817e-27
"TCAT_CellCycle-S","CellCycle-S","ULBP1",0.0110801321185331,0.354153967650026,6995,0.456271982861997
"TCAT_CellCycle-S","CellCycle-S","ULBP2",0.0183792460893571,0.124287464012681,6995,0.200772057251254
"TCAT_CellCycle-S","CellCycle-S","ULBP3",0.0848683274470544,1.16364615301362e-12,6995,9.05058119010592e-12
"TCAT_CellCycle-S","CellCycle-S","NKG2DL_sum",0.138436220322483,2.82563896305666e-31,6995,5.93384182241899e-30
"TCAT_Cytotoxic","Cytotoxic","MICA",-0.0309727981582629,0.00958079204117176,6995,0.0231345834612163
"TCAT_Cytotoxic","Cytotoxic","MICB",0.0102108780458084,0.393178229895487,6995,0.485690754576778
"TCAT_Cytotoxic","Cytotoxic","ULBP1",-0.0181860924276608,0.128292944385234,6995,0.205660445197704
"TCAT_Cytotoxic","Cytotoxic","ULBP2",-0.0165935084259713,0.165239348425211,6995,0.25145118238619
"TCAT_Cytotoxic","Cytotoxic","ULBP3",0.0443032126414784,0.000210138024166857,6995,0.000689515391797498
"TCAT_Cytotoxic","Cytotoxic","NKG2DL_sum",0.0122354574833914,0.306222008668788,6995,0.420304717780689
"TCAT_Th22","Th22","MICA",-0.0565682901042172,2.20032035680199e-06,6995,1.00449407593134e-05
"TCAT_Th22","Th22","MICB",-0.028002173776692,0.0191789807670998,6995,0.0406826864756662
"TCAT_Th22","Th22","ULBP1",-0.037765411987977,0.00158249136324791,6995,0.00474747408974373
"TCAT_Th22","Th22","ULBP2",-0.013652004091938,0.253599636428487,6995,0.364766600342344
"TCAT_Th22","Th22","ULBP3",0.0707375715909857,3.16932891359129e-09,6995,2.14696474791668e-08
"TCAT_Th22","Th22","NKG2DL_sum",-0.028914156850793,0.0155914494967205,6995,0.0348319616416096
"TCAT_MAIT","MAIT","MICA",-0.00316090762360127,0.791533771857299,6995,0.826975582537476
"TCAT_MAIT","MAIT","MICB",-0.0320944034042029,0.00726464125111931,6995,0.0179479372086477
"TCAT_MAIT","MAIT","ULBP1",0.00505475705368646,0.672523351758774,6995,0.724336798612749
"TCAT_MAIT","MAIT","ULBP2",0.0292514111646483,0.0144226509391632,6995,0.0332830406288382
"TCAT_MAIT","MAIT","ULBP3",-0.0871957744206774,2.7658805002896e-13,6995,2.4201454377534e-12
"TCAT_MAIT","MAIT","NKG2DL_sum",-0.0287832792283947,0.0160669919546154,6995,0.0355165085312551
"TCAT_CellCycle-Late-S","CellCycle-Late-S","MICA",0.0969993116624093,4.27970505535839e-16,6995,5.2866944801486e-15
"TCAT_CellCycle-Late-S","CellCycle-Late-S","MICB",0.222744102936443,2.27282599412161e-79,6995,4.77293458765538e-77
"TCAT_CellCycle-Late-S","CellCycle-Late-S","ULBP1",0.0145729315301018,0.222969359733451,6995,0.327437521286887
"TCAT_CellCycle-Late-S","CellCycle-Late-S","ULBP2",0.00136493744764852,0.909128622094725,6995,0.926781605048021
"TCAT_CellCycle-Late-S","CellCycle-Late-S","ULBP3",0.0686170667533479,9.21327535736419e-09,6995,5.52796521441851e-08
