"CAR_plot","Ligand_gene","Expression","n_cells","Ligand"
"4-1BB-CD79A","MICA",0.0615504164192327,227,"MICA"
"4-1BB-CD79A","MICB",0.14297432001724,227,"MICB"
"4-1BB-CD79A","RAET1E",0,227,"ULBP4"
"4-1BB-CD79A","RAET1G",0,227,"ULBP5"
"4-1BB-CD79A","ULBP1",0.00201046182735632,227,"ULBP1"
"4-1BB-CD79A","ULBP2",0.0129369197003341,227,"ULBP2"
"4-1BB-CD79A","ULBP3",0,227,"ULBP3"
"4-1BB-FCER1G","MICA",0.0470953344381604,173,"MICA"
"4-1BB-FCER1G","MICB",0.110609737999825,173,"MICB"
"4-1BB-FCER1G","RAET1E",0,173,"ULBP4"
"4-1BB-FCER1G","RAET1G",0,173,"ULBP5"
"4-1BB-FCER1G","ULBP1",0.00219152225842884,173,"ULBP1"
"4-1BB-FCER1G","ULBP2",0.010943277795548,173,"ULBP2"
"4-1BB-FCER1G","ULBP3",0,173,"ULBP3"
"CD223-CD79B","MICA",0.025526500760129,127,"MICA"
"CD223-CD79B","MICB",0.0742011173598962,127,"MICB"
"CD223-CD79B","RAET1E",0,127,"ULBP4"
"CD223-CD79B","RAET1G",0,127,"ULBP5"
"CD223-CD79B","ULBP1",0,127,"ULBP1"
"CD223-CD79B","ULBP2",0,127,"ULBP2"
"CD223-CD79B","ULBP3",0,127,"ULBP3"
"CD223-FCER1G","MICA",0.0533222950665705,181,"MICA"
"CD223-FCER1G","MICB",0.127187524668407,181,"MICB"
"CD223-FCER1G","RAET1E",0,181,"ULBP4"
"CD223-FCER1G","RAET1G",0,181,"ULBP5"
"CD223-FCER1G","ULBP1",0,181,"ULBP1"
"CD223-FCER1G","ULBP2",0,181,"ULBP2"
"CD223-FCER1G","ULBP3",0,181,"ULBP3"
"CD30-CD79B","MICA",0.0535315908805411,319,"MICA"
"CD30-CD79B","MICB",0.122385662043464,319,"MICB"
"CD30-CD79B","RAET1E",0,319,"ULBP4"
"CD30-CD79B","RAET1G",0,319,"ULBP5"
"CD30-CD79B","ULBP1",0,319,"ULBP1"
"CD30-CD79B","ULBP2",0.000950842385968031,319,"ULBP2"
"CD30-CD79B","ULBP3",0.00247069601933888,319,"ULBP3"
"CD357-CD79B","MICA",0.0722435807981063,110,"MICA"
