"tissue_simple","p_value","median_normal","median_tumor","delta_median","y_pos","y_seg","FDR","label_fdr","stars"
"Cervix",4.26386856135195e-29,6.85988498342663,57.8699392060166,51.01005422259,280.134868506551,267.237422286971,3.19790142101396e-28,"FDR=3.2e-28","***"
"Bladder",0.00744025273028891,24.7251510778627,36.5699260142345,11.8447749363717,244.743463171043,233.577560653962,0.0101457991776667,"FDR=0.0101","*"
"Rectum",0.060186491221128,14.9002099819772,19.8900301850274,4.98982020305028,66.5996200428275,63.9496400310537,0.070350158106302,"FDR=0.0704","ns"
"Liver",1.50447180431658e-07,7.81988355231996,10.9250915930425,3.10520804072255,74.1350782201726,70.7320653576439,3.76117951079145e-07,"FDR=3.76e-07","***"
"Kidney",0.18479403412853,21.1100138043562,22.0846063192276,0.97459251487135,106.42338730537,101.496378633825,0.197993607994853,"FDR=0.198","ns"
"Brain",1.50818123778349e-06,7.03005911648907,5.85994550943763,-1.17011360705143,135.085515051,128.831556020861,3.23181693810749e-06,"FDR=3.23e-06","***"
"Thyroid",0.00130436815354227,33.5802388548087,31.880056319557,-1.70018253525171,126.824430066924,120.952928674936,0.00195655223031341,"FDR=0.00196","**"
"Colon",0.0609701370254618,23.8293320916934,21.659669334295,-2.16966275739846,95.4518205009473,91.0327547370146,0.070350158106302,"FDR=0.0704","ns"
"Breast",1.49176630156847e-05,27.4596757874315,24.2795574854053,-3.18011830202613,138.59553024235,132.279533106193,2.79706181544089e-05,"FDR=2.8e-05","***"
"Skin",2.48142792337211e-05,38.7000961726854,30.4398899703615,-8.26020620232392,94.3047089814301,90.1206974636321,4.13571320562018e-05,"FDR=4.14e-05","***"
"Prostate",1.89566890142459e-23,25.4546319581215,15.7796819838197,-9.67494997430179,90.0115279464815,85.9165500809332,9.47834450712296e-23,"FDR=9.48e-23","***"
"Lung",1.15555037598146e-09,48.0799396616456,36.8594441233666,-11.220495538279,440.336593892735,419.950640471775,3.46665112794438e-09,"FDR=3.47e-09","***"
"HeadNeck",0.847755861116264,93.2599038633016,78.1555966207333,-15.1043072425684,294.562351095593,281.002055685134,0.847755861116264,"FDR=0.848","ns"
"Uterus",1.0244863179432e-19,41.3212465549447,21.3703941865193,-19.9508523684255,139.026199737218,132.772209654107,3.84182369228702e-19,"FDR=3.84e-19","***"
"Ovary",5.87670584268956e-32,45.1793800586692,16.7000987740369,-28.4792812846323,128.219282364226,122.283204476994,8.81505876403433e-31,"FDR=8.82e-31","***"
