ModelID	MICA	MICB	ULBP1	ULBP2	ULBP3	RAET1E	RAET1G	RAET1L	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype
ACH-000029	-0.0273833090669459	-0.228189328029678	0.178797672295853	-0.244830078385481	-0.134322920165142	0.140565094678421	-0.16173747132637	-0.0275894289536958	HCC-827-GR5	HCC827GR5	HCC827GR5_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma
ACH-000030	0.00514179138271313	-0.146845164135827	0.154562068086152	-0.0943283561944865	0.0467019695896964	0.218600675029273	-0.0746358960199546	-0.0960191795005758	PC-14	PC14	PC14_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma
ACH-000074	0.11156578948157	-0.466529014183176	0.041339826150079	-0.296864639341923	0.179431060267056	0.361588759404302	-0.097175779543277	0.113851688294837	KU812	KU812	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+
ACH-000090	0.116377362404867	-0.162498319088566	0.454461731758294	-0.0562449097391384	-0.0040235850206367	0.242520702524491	0.261205806673378	-0.111832498333066	PC-3	PC3	PC3_PROSTATE	Prostate	Prostate Adenocarcinoma	Prostate Adenocarcinoma
ACH-000093	0.361268681577605	-0.332743559304875	0.153732559072614	-0.0466341535329511	-0.138630812546543	0.344205886621455	-0.148196856534191	-0.102879132697592	Panc 05.04	PANC0504	PANC0504_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma
ACH-000103	0.249965930023849	-0.0816000895584291	0.385360971417065		-0.118227531548926	0.162666645992377			Caov-4	CAOV4	CAOV4_OVARY	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	High-Grade Serous Ovarian Cancer
ACH-000118	0.0737455753352557	-0.0125158389471674	0.167249044803111	-0.100264357588055	-0.00766885203816914	0.15132778711157	-0.0372942092505431	-0.0540749577503627	HUP-T3	HUPT3	HUPT3_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma
ACH-000133	-0.0394001807960383	-0.264861864760947	0.185639849052909	-0.0658997050648638	-0.0234655446848965	0.0938141627391029	-0.098778281307172	-0.0474632233910602	Hs 729	HS729	HS729_SOFT_TISSUE	Fibroblast	Non-Cancerous	Fibroblast
ACH-000155	-0.130266279108095	-0.477316662124977	0.199563233066835		0.0677020452888856	-0.0693390720047726			SW 1990	SW1990	SW1990_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma
ACH-000164	0.111577318041796	-0.0695705614203161	0.248059174717131	-0.207068279623038	-0.151669734196538	0.160290346935907	-0.00671932957396984	0.00158296723322551	PANC-1	PANC1	PANC1_PANCREAS	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma
