	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low
AC023509.3	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	0.9999343638213383	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AC138696.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042	0.9999653691647042
AHR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AIRE	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	0.7545863279839848	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2	1.7904141847901345e-2
ALX1	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	5.907256079551004e-3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ALX3	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.89179875947632e-4	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3	6.960797894445259e-3
ALX4	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.13645761543762924	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054	0.8753636237706054
ANHX	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGFX	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
