TF	High	Low	log2FC_High_vs_Low	diff_High_minus_Low	Regulation
POU2AF1	3.10961199498167e-05	0.000372874158739521	-3.58387808212741	-0.000341778038789704	Higher in Low / Lower in High
MIXL1	8.87848666836688e-06	8.89224260683494e-05	-3.32414698677402	-8.00439393999825e-05	Higher in Low / Lower in High
PROX1	2.59377559114219e-05	0.000199609055965721	-2.9440467650256	-0.000173671300054299	Higher in Low / Lower in High
HOXD1	6.03899398444002e-06	4.53107335818305e-05	-2.90745200184822	-3.92717395973905e-05	Higher in Low / Lower in High
FOXJ1	3.18077487939451e-05	0.000230346246576804	-2.85635000721196	-0.000198538497782859	Higher in Low / Lower in High
NR5A1	6.54126684690504e-05	0.000452096847299947	-2.78898799604431	-0.000386684178830897	Higher in Low / Lower in High
NR1I2	6.83842689789509e-05	0.000447416139856096	-2.7098791202743	-0.000379031870877146	Higher in Low / Lower in High
IRF4	0.000158558331965779	0.00100332626863264	-2.66170446611672	-0.000844767936666859	Higher in Low / Lower in High
NR1H4	9.82804703533181e-05	0.000517458893509485	-2.39646640425755	-0.000419178423156167	Higher in Low / Lower in High
IKZF3	0.000160272059456412	0.000840399921930114	-2.39055235995763	-0.000680127862473701	Higher in Low / Lower in High
IKZF1	0.000368877789966206	0.00188889866953164	-2.35633016284424	-0.00152002087956543	Higher in Low / Lower in High
PLAG1	0.000625190436126964	0.00274448623199447	-2.1341683097644	-0.00211929579586751	Higher in Low / Lower in High
ZNF501	6.16990076383129e-05	0.000261731083372358	-2.08476429251299	-0.000200032075734045	Higher in Low / Lower in High
DLX6	2.14508125880392e-05	9.05973109171745e-05	-2.07843079594973	-6.91464983291352e-05	Higher in Low / Lower in High
SALL1	7.6856937066302e-05	0.000303513270428515	-1.98151080684638	-0.000226656333362213	Higher in Low / Lower in High
SOX5	4.70013830121979e-05	0.000175230518062505	-1.89847669601403	-0.000128229135050307	Higher in Low / Lower in High
GATA4	0.000118368031561254	0.00043249335022554	-1.86939757024511	-0.000314125318664286	Higher in Low / Lower in High
TLX2	3.23606576242301e-05	0.000114737577691074	-1.8260219336275	-8.23769200668434e-05	Higher in Low / Lower in High
MAF	0.000216297668200572	0.000748172243378175	-1.79035185743207	-0.000531874575177603	Higher in Low / Lower in High
ZFP69	7.33156817421957e-05	0.000248918121912371	-1.76347615858458	-0.000175602440170176	Higher in Low / Lower in High
SP5	0.000509006463313412	0.0016322752249496	-1.68112826106321	-0.00112326876163619	Higher in Low / Lower in High
ZNF727	1.19628930635592e-05	3.75850857136306e-05	-1.65158574473586	-2.56221926500713e-05	Higher in Low / Lower in High
SPI1	0.00027367190366772	0.000807756692219822	-1.56147312059216	-0.000534084788552102	Higher in Low / Lower in High
SOX6	7.5439098729379e-05	0.000217658432870172	-1.52868032147387	-0.000142219334140793	Higher in Low / Lower in High
IRX3	2.44759375796554e-05	6.99026372432005e-05	-1.51397893023959	-4.54266996635451e-05	Higher in Low / Lower in High
ZNF793	0.000160084102664725	0.000452398170044078	-1.49876246482705	-0.000292314067379353	Higher in Low / Lower in High
HLF	8.52005244177865e-05	0.000239942076790665	-1.49375086656588	-0.000154741552372878	Higher in Low / Lower in High
CUX2	1.44744781097334e-05	4.04600748606199e-05	-1.48298125632222	-2.59855967508865e-05	Higher in Low / Lower in High
ZIK1	0.000112909258912863	0.000312834567160387	-1.47023532131821	-0.000199925308247524	Higher in Low / Lower in High
ZNF257	6.64900278216239e-05	0.000182827250996732	-1.45926985766535	-0.000116337223175108	Higher in Low / Lower in High
