"TF","MICA","MICB","RAET1E","RAET1G","ULBP1","ULBP2","ULBP3","RAET1L"
"HOXA9",4,5,1,2,7,2,4,5
"FOSL1",81,55,56,15,49,32,40,56
"FOSL2",95,42,64,31,57,31,64,51
"JDP2",4,1,0,2,0,0,0,0
"KLF4",17,9,2,5,13,6,30,21
"FOS",16,15,41,12,25,20,18,27
"JUNB",37,43,19,13,41,12,20,10
"FOSB",2,1,1,0,0,0,0,0
"JUN",130,71,81,51,92,38,71,61
"NFE2L1",14,12,13,15,15,8,13,15
"PBX1",3,3,0,0,8,4,6,0
"MECOM",7,3,1,1,8,3,0,0
"CREB3L1",33,42,14,7,32,22,46,13
"GATA3",36,22,32,3,28,11,27,35
"ATF3",92,78,44,23,106,36,63,37
"NFE2L2",37,27,25,24,18,6,29,19
"BACH1",41,34,30,4,20,6,25,5
"JUND",199,117,158,52,85,50,142,115
"ETS1",43,39,24,32,42,25,30,7
"DDIT3",17,5,1,0,9,1,2,1
"CREM",69,54,28,21,16,16,38,14
"ATF7",69,58,22,28,52,40,55,23
"ATF1",104,72,31,18,71,43,63,19
"MAFK",65,54,59,31,35,28,86,21
"ARNT2",15,17,4,10,15,1,4,0
"ESR1",3,8,0,0,0,0,0,0
"ATF6",31,24,5,0,17,9,0,0
"ATF2",43,42,13,23,39,12,39,9
"CREB3",43,38,5,7,14,7,23,1
"NFE2",67,30,9,7,24,19,35,12
"CEBPD",16,9,0,5,3,0,2,0
"TFAP2C",0,0,0,0,0,0,0,0
"ETS2",19,6,5,4,13,9,18,4
"TFAP2A",0,0,0,0,0,0,0,0
"NPAS2",1,0,0,8,4,1,1,1
"CREB1",147,62,29,43,95,98,99,22
"MAFG",41,30,8,14,12,3,14,5
"MAFF",28,30,29,11,14,8,50,6
"ATF4",69,39,5,11,48,7,21,3
"ELK1",45,26,29,21,36,10,40,10
"CLOCK",46,29,26,9,35,23,34,9
"KLF6",68,46,10,8,16,6,29,6
"CXXC5",33,22,0,4,9,13,6,2
"PBX3",25,9,8,3,14,7,9,2
"STAT6",36,20,3,12,17,7,2,0
"TBP",74,68,36,27,26,7,64,15
"CEBPB",145,115,77,57,146,19,59,30
"MYBL2",46,31,21,16,18,6,22,10
"SP1",103,67,46,54,90,55,112,53
"ARNTL",16,20,4,1,2,0,7,0
"RUNX1",44,48,22,26,40,24,45,10
"GTF2B",5,4,1,2,3,2,1,0
