"TF","gene_name","n_files_with_binding","total_overlapping_peaks","cell_lines","file_accessions"
"ARNT2","MICA",4,15,"HepG2","ENCFF393KHT; ENCFF616CUN; ENCFF633IXH; ENCFF974HAU"
"ARNT2","MICB",8,17,"HepG2","ENCFF023QQL; ENCFF393KHT; ENCFF431BYW; ENCFF616CUN; ENCFF633IXH; ENCFF713SOV; ENCFF974HAU; ENCFF980RUT"
"ARNT2","RAET1E",3,4,"HepG2","ENCFF393KHT; ENCFF616CUN; ENCFF974HAU"
"ARNT2","RAET1G",3,10,"HepG2","ENCFF393KHT; ENCFF616CUN; ENCFF974HAU"
"ARNT2","ULBP1",7,15,"HepG2","ENCFF023QQL; ENCFF393KHT; ENCFF431BYW; ENCFF616CUN; ENCFF633IXH; ENCFF974HAU; ENCFF980RUT"
"ARNT2","ULBP2",1,1,"HepG2","ENCFF633IXH"
"ARNT2","ULBP3",3,4,"HepG2","ENCFF393KHT; ENCFF616CUN; ENCFF974HAU"
"ARNTL","MICA",6,16,"HepG2","ENCFF049HEP; ENCFF212JXA; ENCFF316SKE; ENCFF343MFN; ENCFF588WBI; ENCFF682FXA"
"ARNTL","MICB",5,20,"HepG2","ENCFF212JXA; ENCFF316SKE; ENCFF343MFN; ENCFF588WBI; ENCFF682FXA"
"ARNTL","RAET1E",3,4,"HepG2","ENCFF316SKE; ENCFF343MFN; ENCFF682FXA"
"ARNTL","RAET1G",1,1,"HepG2","ENCFF682FXA"
"ARNTL","ULBP1",2,2,"HepG2","ENCFF212JXA; ENCFF316SKE"
"ARNTL","ULBP3",3,7,"HepG2","ENCFF316SKE; ENCFF343MFN; ENCFF682FXA"
"ATF1","MICA",38,104,"HepG2; K562","ENCFF012UHY; ENCFF077HXE; ENCFF130WFH; ENCFF132KHC; ENCFF142JBX; ENCFF173BUC; ENCFF189NGD; ENCFF219KKZ; ENCFF221MGJ; ENCFF234YBT; ENCFF236XAZ; ENCFF259RDK; ENCFF313YNI; ENCFF320PKO; ENCFF337JAD; ENCFF342OEH; ENCFF358DZO; ENCFF360VMU; ENCFF363ZSJ; ENCFF391GUV; ENCFF401TNF; ENCFF465UUK; ENCFF498YES; ENCFF522YTF; ENCFF539UXY; ENCFF583CJG; ENCFF617OOI; ENCFF621JGB; ENCFF627RSK; ENCFF640BJX; ENCFF644UJA; ENCFF670QNI; ENCFF683OFC; ENCFF844NZW; ENCFF895RKW; ENCFF914IWA; ENCFF987UMS; ENCFF990YHD"
"ATF1","MICB",30,72,"HepG2; K562","ENCFF001VLX; ENCFF077HXE; ENCFF091AYC; ENCFF131MUF; ENCFF132KHC; ENCFF142JBX; ENCFF173BUC; ENCFF206BGR; ENCFF221MGJ; ENCFF234YBT; ENCFF236XAZ; ENCFF246FCW; ENCFF259RDK; ENCFF320PKO; ENCFF337JAD; ENCFF342OEH; ENCFF358DZO; ENCFF360VMU; ENCFF391GUV; ENCFF465UUK; ENCFF498YES; ENCFF617OOI; ENCFF621JGB; ENCFF627RSK; ENCFF644UJA; ENCFF725LNH; ENCFF878PSW; ENCFF884CMO; ENCFF895RKW; ENCFF990YHD"
"ATF1","RAET1E",17,31,"HepG2; K562","ENCFF012UHY; ENCFF089SHU; ENCFF189NGD; ENCFF219KKZ; ENCFF246FCW; ENCFF259RDK; ENCFF313YNI; ENCFF320PKO; ENCFF358DZO; ENCFF360VMU; ENCFF465UUK; ENCFF522YTF; ENCFF621JGB; ENCFF624BVW; ENCFF644UJA; ENCFF705EEN; ENCFF895RKW"
"ATF1","RAET1G",12,18,"HepG2; K562","ENCFF091AYC; ENCFF234YBT; ENCFF246FCW; ENCFF320PKO; ENCFF337JAD; ENCFF358DZO; ENCFF360VMU; ENCFF401TNF; ENCFF465UUK; ENCFF705EEN; ENCFF844NZW; ENCFF895RKW"
"ATF1","RAET1L",12,19,"HepG2; K562","ENCFF077HXE; ENCFF091AYC; ENCFF234YBT; ENCFF313YNI; ENCFF337JAD; ENCFF360VMU; ENCFF465UUK; ENCFF522YTF; ENCFF621JGB; ENCFF624BVW; ENCFF644UJA; ENCFF705EEN"
"ATF1","ULBP1",43,71,"HepG2; K562","ENCFF012UHY; ENCFF077HXE; ENCFF089SHU; ENCFF091AYC; ENCFF131MUF; ENCFF132KHC; ENCFF142JBX; ENCFF168FKE; ENCFF173BUC; ENCFF189NGD; ENCFF206BGR; ENCFF219KKZ; ENCFF221MGJ; ENCFF236XAZ; ENCFF259RDK; ENCFF313YNI; ENCFF320PKO; ENCFF358DZO; ENCFF360VMU; ENCFF401TNF; ENCFF465UUK; ENCFF467CEX; ENCFF522YTF; ENCFF539RBU; ENCFF582KSF; ENCFF583CJG; ENCFF617OOI; ENCFF624BVW; ENCFF627RSK; ENCFF644UJA; ENCFF647MTJ; ENCFF705EEN; ENCFF705LAM; ENCFF711PGY; ENCFF715PLB; ENCFF725LNH; ENCFF844NZW; ENCFF860UZX; ENCFF878PSW; ENCFF882VHN; ENCFF895RKW; ENCFF924GPK; ENCFF982WDO"
"ATF1","ULBP2",28,43,"HepG2; K562","ENCFF012UHY; ENCFF091AYC; ENCFF131MUF; ENCFF132KHC; ENCFF142JBX; ENCFF168FKE; ENCFF173BUC; ENCFF206BGR; ENCFF219KKZ; ENCFF221MGJ; ENCFF236XAZ; ENCFF259RDK; ENCFF313YNI; ENCFF320PKO; ENCFF358DZO; ENCFF360VMU; ENCFF465UUK; ENCFF522YTF; ENCFF617OOI; ENCFF627RSK; ENCFF644UJA; ENCFF705EEN; ENCFF705LAM; ENCFF711PGY; ENCFF725LNH; ENCFF860UZX; ENCFF878PSW; ENCFF895RKW"
"ATF1","ULBP3",26,63,"HepG2; K562","ENCFF002CVM; ENCFF030HWZ; ENCFF077HXE; ENCFF089SHU; ENCFF091AYC; ENCFF131MUF; ENCFF189NGD; ENCFF232KAH; ENCFF234YBT; ENCFF246FCW; ENCFF259RDK; ENCFF313YNI; ENCFF337JAD; ENCFF358DZO; ENCFF360VMU; ENCFF418WDR; ENCFF465UUK; ENCFF522YTF; ENCFF621JGB; ENCFF624BVW; ENCFF644UJA; ENCFF670QNI; ENCFF705EEN; ENCFF843PZW; ENCFF884CMO; ENCFF987UMS"
"ATF2","MICA",17,43,"HepG2; K562","ENCFF050YFJ; ENCFF085MLO; ENCFF102LXY; ENCFF129HSC; ENCFF182PYD; ENCFF193MKJ; ENCFF376YOD; ENCFF448DMG; ENCFF520FIM; ENCFF538KAC; ENCFF640LNW; ENCFF764SAO; ENCFF784QTQ; ENCFF842UTR; ENCFF865OTB; ENCFF952FPA; ENCFF995IHH"
"ATF2","MICB",18,42,"HepG2; K562","ENCFF085MLO; ENCFF193MKJ; ENCFF376YOD; ENCFF448DMG; ENCFF474JRH; ENCFF513RYS; ENCFF520FIM; ENCFF522LHU; ENCFF525YRJ; ENCFF538KAC; ENCFF640LNW; ENCFF731IFM; ENCFF750HPK; ENCFF759MWN; ENCFF764SAO; ENCFF784QTQ; ENCFF826QEY; ENCFF968KBN"
"ATF2","RAET1E",11,13,"HepG2; K562","ENCFF085MLO; ENCFF129HSC; ENCFF418KEX; ENCFF507XJO; ENCFF520FIM; ENCFF650ZJR; ENCFF731IFM; ENCFF750HPK; ENCFF759MWN; ENCFF764SAO; ENCFF784QTQ"
"ATF2","RAET1G",15,23,"HepG2; K562","ENCFF085MLO; ENCFF129HSC; ENCFF376YOD; ENCFF448DMG; ENCFF474JRH; ENCFF502ZTC; ENCFF507XJO; ENCFF513RYS; ENCFF520FIM; ENCFF650ZJR; ENCFF731IFM; ENCFF749LDF; ENCFF750HPK; ENCFF784QTQ; ENCFF826QEY"
"ATF2","RAET1L",6,9,"HepG2; K562","ENCFF474JRH; ENCFF513RYS; ENCFF731IFM; ENCFF750HPK; ENCFF759MWN; ENCFF826QEY"
"ATF2","ULBP1",26,39,"HepG2; K562","ENCFF121HYT; ENCFF129HSC; ENCFF182PYD; ENCFF192ASP; ENCFF207FUE; ENCFF289VCS; ENCFF418KEX; ENCFF474JRH; ENCFF507XJO; ENCFF538KAC; ENCFF559LTZ; ENCFF581SVN; ENCFF640LNW; ENCFF650ZJR; ENCFF673TEA; ENCFF731IFM; ENCFF749LDF; ENCFF750HPK; ENCFF759MWN; ENCFF764SAO; ENCFF784QTQ; ENCFF803FHN; ENCFF826QEY; ENCFF842UTR; ENCFF888JJI; ENCFF992RYP"
"ATF2","ULBP2",10,12,"HepG2; K562","ENCFF050YFJ; ENCFF182PYD; ENCFF310XTT; ENCFF538KAC; ENCFF750HPK; ENCFF759MWN; ENCFF764SAO; ENCFF784QTQ; ENCFF842UTR; ENCFF995IHH"
"ATF2","ULBP3",21,39,"HepG2; K562","ENCFF050YFJ; ENCFF085MLO; ENCFF129HSC; ENCFF215TZZ; ENCFF289VCS; ENCFF376YOD; ENCFF418KEX; ENCFF448DMG; ENCFF474JRH; ENCFF502ZTC; ENCFF507XJO; ENCFF513RYS; ENCFF520FIM; ENCFF525YRJ; ENCFF731IFM; ENCFF749LDF; ENCFF750HPK; ENCFF759MWN; ENCFF826QEY; ENCFF968KBN; ENCFF995IHH"
"ATF3","MICA",39,92,"HepG2; K562","ENCFF012VKK; ENCFF027EFG; ENCFF034DTN; ENCFF119XUN; ENCFF126UIS; ENCFF151HWD; ENCFF164BVB; ENCFF183CZJ; ENCFF198OWC; ENCFF225ALT; ENCFF239HDN; ENCFF250BQT; ENCFF251XOI; ENCFF263MQY; ENCFF292CHB; ENCFF296XNB; ENCFF343CSC; ENCFF344UMM; ENCFF349HIP; ENCFF360USH; ENCFF432KKS; ENCFF480GLV; ENCFF484BZA; ENCFF528ESS; ENCFF556SMM; ENCFF561JSP; ENCFF630ZUD; ENCFF650KQD; ENCFF718VHT; ENCFF725ZKM; ENCFF796WJW; ENCFF803MOB; ENCFF806JZT; ENCFF878VTI; ENCFF891BJN; ENCFF931FKR; ENCFF937OKC; ENCFF963WVL; ENCFF980RKS"
