"file","file_name","file_accession","TF_clean","cell_line","assay","output_type","file_format"
"./ENCFF001TRO.bed.gz","ENCFF001TRO.bed.gz","ENCFF001TRO","CEBPB","A549","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001TRP.bed.gz","ENCFF001TRP.bed.gz","ENCFF001TRP","CEBPB","A549","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001TSL.bed.gz","ENCFF001TSL.bed.gz","ENCFF001TSL","GATA3","A549","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001TSM.bed.gz","ENCFF001TSM.bed.gz","ENCFF001TSM","GATA3","A549","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001TTD.bed.gz","ENCFF001TTD.bed.gz","ENCFF001TTD","PBX3","A549","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001TTE.bed.gz","ENCFF001TTE.bed.gz","ENCFF001TTE","PBX3","A549","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001TUH.bed.gz","ENCFF001TUH.bed.gz","ENCFF001TUH","CEBPB","Ishikawa","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001TUI.bed.gz","ENCFF001TUI.bed.gz","ENCFF001TUI","CEBPB","Ishikawa","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001TUJ.bed.gz","ENCFF001TUJ.bed.gz","ENCFF001TUJ","CREB1","Ishikawa","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001TUK.bed.gz","ENCFF001TUK.bed.gz","ENCFF001TUK","CREB1","Ishikawa","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UDK.bed.gz","ENCFF001UDK.bed.gz","ENCFF001UDK","ATF3","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UDL.bed.gz","ENCFF001UDL.bed.gz","ENCFF001UDL","ATF3","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UDO.bed.gz","ENCFF001UDO.bed.gz","ENCFF001UDO","CEBPB","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UDP.bed.gz","ENCFF001UDP.bed.gz","ENCFF001UDP","CEBPB","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UDW.bed.gz","ENCFF001UDW.bed.gz","ENCFF001UDW","FOSL1","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UDX.bed.gz","ENCFF001UDX.bed.gz","ENCFF001UDX","FOSL1","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UDY.bed.gz","ENCFF001UDY.bed.gz","ENCFF001UDY","JUND","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UDZ.bed.gz","ENCFF001UDZ.bed.gz","ENCFF001UDZ","JUND","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UEK.bed.gz","ENCFF001UEK.bed.gz","ENCFF001UEK","SP1","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UEL.bed.gz","ENCFF001UEL.bed.gz","ENCFF001UEL","SP1","HCT116","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UFE.bed.gz","ENCFF001UFE.bed.gz","ENCFF001UFE","ATF3","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UFF.bed.gz","ENCFF001UFF.bed.gz","ENCFF001UFF","ATF3","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UFI.bed.gz","ENCFF001UFI.bed.gz","ENCFF001UFI","CEBPB","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UFJ.bed.gz","ENCFF001UFJ.bed.gz","ENCFF001UFJ","CEBPB","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UFM.bed.gz","ENCFF001UFM.bed.gz","ENCFF001UFM","CREB1","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UFN.bed.gz","ENCFF001UFN.bed.gz","ENCFF001UFN","CREB1","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UFS.bed.gz","ENCFF001UFS.bed.gz","ENCFF001UFS","FOSL2","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UFT.bed.gz","ENCFF001UFT.bed.gz","ENCFF001UFT","FOSL2","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UGK.bed.gz","ENCFF001UGK.bed.gz","ENCFF001UGK","JUND","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UGL.bed.gz","ENCFF001UGL.bed.gz","ENCFF001UGL","JUND","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UGQ.bed.gz","ENCFF001UGQ.bed.gz","ENCFF001UGQ","MYBL2","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UGR.bed.gz","ENCFF001UGR.bed.gz","ENCFF001UGR","MYBL2","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UHM.bed.gz","ENCFF001UHM.bed.gz","ENCFF001UHM","SP1","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UHN.bed.gz","ENCFF001UHN.bed.gz","ENCFF001UHN","SP1","HepG2","TF ChIP-seq","peaks","bed broadPeak"
"./ENCFF001UIW.bed.gz","ENCFF001UIW.bed.gz","ENCFF001UIW","ATF3","K562","TF ChIP-seq","peaks","bed broadPeak"
