"CAR_Variant","n_cells"
"TIM1-CD79B",2275
"CD28-CD3Z",707
"D",593
"4-1BB-CD3Z",363
"CD30-CD79B",341
"4-1BB-CD79A",250
"HVEM-CD79B",218
"CD4-FCGR2A",216
"CD4-K1",205
"4-1BB-FCER1G",204
"CD223-FCER1G",204
"TIM1-FCER1G",185
"CD223-CD79B",143
"TIM1-CD3G",142
"CD357-CD79B",125
"4-1BB-CD79B",115
"CD223-K1",114
"4-1BB-LMP2",111
"CD150-CD3D",105
"TIM1-K1",104
"FCRL6-CD3G",98
"CD150-CD79B",93
"CD28-FCGR2A",81
"CD30-CD3D",80
"TIM1-CD3D",79
"4-1BB-CD3G",77
"CD244-FCGR2A",74
"FCRL6-CD79A",72
"TIM1-DAP12",71
"FCRL6-DAP12",68
"CD226-CD3D",67
"CD223-CD79A",64
"4-1BB-CD3D",63
"4-1BB-FCGR2A",59
"FCRL6-CD3D",58
"4-1BB-DAP12",54
