"Multinomial_Label2","n","percent","CAR_Variant","mean_ASA","mean_Proliferation"
"CD4_CM",151,66.5198237885463,"4-1BB-CD79A",0.0886390775845731,0.114446179547954
"CD4_EM",8,3.52422907488987,"4-1BB-CD79A",0.0886390775845731,0.114446179547954
"CD4_Naive",19,8.37004405286344,"4-1BB-CD79A",0.0886390775845731,0.114446179547954
"CD8_CM",9,3.9647577092511,"4-1BB-CD79A",0.0886390775845731,0.114446179547954
"CD8_EM",1,0.440528634361233,"4-1BB-CD79A",0.0886390775845731,0.114446179547954
"CD8_Naive",9,3.9647577092511,"4-1BB-CD79A",0.0886390775845731,0.114446179547954
"CD8_TEMRA",4,1.76211453744493,"4-1BB-CD79A",0.0886390775845731,0.114446179547954
"Treg",21,9.2511013215859,"4-1BB-CD79A",0.0886390775845731,0.114446179547954
"gdT",5,2.20264317180617,"4-1BB-CD79A",0.0886390775845731,0.114446179547954
"CD4_CM",45,26.0115606936416,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"CD4_EM",53,30.635838150289,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"CD4_Naive",34,19.6531791907514,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"CD8_CM",16,9.2485549132948,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"CD8_EM",2,1.15606936416185,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"CD8_Naive",3,1.73410404624277,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"CD8_TEMRA",14,8.09248554913295,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"MAIT",1,0.578034682080925,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"Treg",3,1.73410404624277,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"gdT",2,1.15606936416185,"4-1BB-FCER1G",0.0843113375118748,0.0806732848888052
"CD4_CM",24,18.8976377952756,"CD223-CD79B",0.0903618430521011,0.0441231719985693
"CD4_EM",13,10.2362204724409,"CD223-CD79B",0.0903618430521011,0.0441231719985693
"CD4_Naive",33,25.9842519685039,"CD223-CD79B",0.0903618430521011,0.0441231719985693
"CD8_CM",19,14.9606299212598,"CD223-CD79B",0.0903618430521011,0.0441231719985693
"CD8_EM",4,3.1496062992126,"CD223-CD79B",0.0903618430521011,0.0441231719985693
"CD8_Naive",19,14.9606299212598,"CD223-CD79B",0.0903618430521011,0.0441231719985693
"CD8_TEMRA",2,1.5748031496063,"CD223-CD79B",0.0903618430521011,0.0441231719985693
"Treg",13,10.2362204724409,"CD223-CD79B",0.0903618430521011,0.0441231719985693
"CD4_CM",16,8.83977900552486,"CD223-FCER1G",0.083247967236853,0.0613484826926099
"CD4_EM",13,7.18232044198895,"CD223-FCER1G",0.083247967236853,0.0613484826926099
"CD4_Naive",23,12.707182320442,"CD223-FCER1G",0.083247967236853,0.0613484826926099
"CD8_CM",84,46.4088397790055,"CD223-FCER1G",0.083247967236853,0.0613484826926099
"CD8_EM",9,4.97237569060773,"CD223-FCER1G",0.083247967236853,0.0613484826926099
"CD8_Naive",12,6.62983425414365,"CD223-FCER1G",0.083247967236853,0.0613484826926099
"CD8_TEMRA",7,3.86740331491713,"CD223-FCER1G",0.083247967236853,0.0613484826926099
"Treg",14,7.73480662983425,"CD223-FCER1G",0.083247967236853,0.0613484826926099
