gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CAR,neg_log10_padj,gene_group
CDC20,2991.2005236185596,0.21136398308809687,0.45032458530411423,0.46935919109403734,0.6388129128244844,1,NKG2D,-0,Proliferation
CDK1,1483.380445990774,0.4519839759624926,0.4564797854305788,0.990151131306186,0.32210025448198315,1,NKG2D,-0,Proliferation
CRTAM,2684.302560885621,-0.8319507121059867,0.79207865404819,-1.0503385084978831,0.29356250629404257,1,NKG2D,-0,Activation
DUSP4,6596.980547364267,0.09133779443108105,0.5396829231798994,0.16924344000529778,0.8656051624082705,1,NKG2D,-0,Activation
GNLY,45989.14793838967,-0.7118167815331429,1.2782217828852722,-0.5568804968464792,0.5776090806900407,1,NKG2D,-0,Cytotoxicity
GZMA,13014.881674171866,-0.3026574983978472,0.5417917165597369,-0.558623340201025,0.5764188075024472,1,NKG2D,-0,Cytotoxicity
GZMB,50256.09671662084,-1.0421955332215689,0.7981163849798075,-1.305818991860362,0.1916141199439505,1,NKG2D,-0,Cytotoxicity
GZMH,772.8482035055544,-1.0186373996276727,0.90344996075982,-1.1274973090606786,0.2595322775979307,1,NKG2D,-0,Cytotoxicity
GZMK,1059.197527726015,-0.4225624785891261,0.7385514327183725,-0.5721503741910136,0.5672201043535143,1,NKG2D,-0,Cytotoxicity
ID3,304.0281243052165,0.5360733948460095,0.5860142599071291,0.9147787545834906,0.3603077902868991,1,NKG2D,-0,Activation
IFNG,2102.639838803414,0.15918569181907266,0.5366567075832361,0.29662480608123726,0.7667529702646233,1,NKG2D,-0,Activation
IL2RA,13281.36207594541,-0.4400249490635638,0.4732354177894358,-0.9298225207212856,0.35246298393950415,1,NKG2D,-0,Activation
KLRD1,1425.264827733504,-0.44968829699279944,0.6342890766336872,-0.7089642775804922,0.4783466450515701,1,NKG2D,-0,Cytotoxicity
KLRG1,144.36621190580885,-0.3183846860485693,0.8202122611587408,-0.38817352669024574,0.6978876228159441,1,NKG2D,-0,Cytotoxicity
KLRK1,4732.719776851656,-0.16377143301902303,0.6473819309189628,-0.252974983077684,0.8002875451594234,1,NKG2D,-0,Cytotoxicity
LAIR2,686.7978553050176,-1.14562489575646,0.6960752965351141,-1.6458347271611122,0.09979779043903046,1,NKG2D,-0,Activation
