SYMBOL,D1_UTD,D2_UTD,D3_UTD,D1_NKG2D,D2_NKG2D,D3_NKG2D,D1_N_1012,D2_N_1012,D3_N_1012,D1_NZ,D2_NZ,D3_NZ,D1_NZ_10,D3_NZ_10,D1_N_10Z,D2_N_10Z,D3_N_10Z
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARD,10,2,3,20,1,1,5,3,4,0,10,1,5,3,0,9,6
AARS1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS2,211,379.974,114.086,323,62,60.004,339,118,642.034,629,441.99899999999997,1059.978,167,1307.9940000000001,294,386,1333
AARSD1,392.976,568.0000000000001,265.199,387.33,207.47799999999998,230,828.4619999999999,324.00100000000003,1106.5159999999998,1354.0010000000002,406,1037.2630000000001,457.00000000000006,1899.954,432.99999999999994,361.99899999999997,2450.534
AARSD1P1,0,11.562,0,0,2.606,1,1,3,0,0,3.425,0,0,1.271,0,2,0
AATF,1309.998,3059.036,1140.0000000000002,1612.445,778,855.999,1313.0009999999997,987.9929999999999,3015.388,2488,1719.747,3546.9020000000005,733,5609.465000000001,1053,1548,6527.286
ABCB10,310,1599.397,521,840,603,452.151,386,650,1525,1019,442,1406.774,308,1894,339,455,2661
ABCB10P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABCB10P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD2,231,1438,594,387,516.481,597,223,1193,545,265,566.998,770.133,169,571,122,619,774
ABCF2,840.493,1566.397,682.5709999999999,970.6589999999999,702.992,630.15,1774.753,874.09,3104.7229999999995,2588.1820000000002,1032.707,2975.898,1090.998,5948.213999999999,1035.181,948.919,7704.404
ABCF2-H2BK1,116.51,709.162,206.309,433.341,137.008,133.85,154.247,87.909,1102.277,716.836,402.293,579.222,0,7.087,159.819,204.081,600.861
ABCF2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,5,0,0,0,0,0,1,0,2,1,4,0,0,1
ABHD10,388,889,253.999,473,415.99999999999994,284,595.0010000000001,466,1070,985,496.001,1088,432.006,1707.001,408.00000000000006,436.121,2688.0009999999997
ABHD13,330,1438,535.087,340,623,524,234,493,547,459,334,587,190,873,187,321,1128
ABHD15,413.913,1853.436,639.936,496.446,683.881,382.216,304,375,829.98,583.131,372.868,1048.019,276,1572.089,241,434.22,1672.048
ABHD16B,0,139.356,36.148,13.834,35.888,12.733,13.5,55.272,56.608,26.875,51.174,110.745,0,130.895,0,41.351,82.194
ABHD8,320.715,1132.0910000000001,335.38,431.723,364.907,204.11300000000003,283.976,376.48,363.90900000000005,323.544,610.121,618.731,159.775,743.362,145.281,508.967,689.847
ABI3,1683.497,3730.755,829.2090000000001,1605.563,885.003,539.1080000000001,1590.905,1687.383,3058.559,2155.6090000000004,4315.484,3824.286,762.5289999999999,4982.967,1064.1719999999998,2794.331,6017.736
ABRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABRACL,1606,4676.002,2715.802,1657.98,3532.097,3208,1779.142,2952.879,2941.039,2083.272,2028.3609999999999,2718.015,843,4223.502,806,1794.007,6330.27
ABRAXAS1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRAXAS2,321,1437.012,452,504,495,404,394,583,951.061,820,473,968,320,1393.002,312,454,2192.943
ABT1,1433,4231.589,1331,1656,1995,1254.58,1823,1799.01,3113,2915,1538.001,2647.27,1104,4331.903,1113,1333,6205.999
ABTB2,89,157,52,290,98,32,264,70,2420,896,301,2156.003,219,3762.003,360.367,451,3625.975
ACAA2P1,0,0,0,0,0,0,0,0,0,0,0,1.001,0,0,0,0,2.002
ACACA,147.001,516.999,231.99999999999997,531.0000000000001,128,127.00000000000001,349.999,207.001,1138.9979999999998,731.999,389,1309.0019999999997,174.131,1701.299,321.00000000000006,457.028,2307.1830000000004
ACAD11,7.274,30.283,7.305999999999999,21.179000000000002,18.948999999999998,6.01,4.501,10.407,35.672,34.486000000000004,8.424,10.849,4.327,9.281,14.655,17.719,33.123999999999995
