SYMBOL,D1_UTD,D2_UTD,D3_UTD,D1_NKG2D,D2_NKG2D,D3_NKG2D,D1_N_1012,D2_N_1012,D3_N_1012,D1_NZ,D2_NZ,D3_NZ,D1_NZ_10,D3_NZ_10,D1_N_10Z,D2_N_10Z,D3_N_10Z
5_8S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7SK,0,0,0,28.008,35.76,0,0,0,37.679,39.941,25.114,38.612,29.565,214.793,0,37.851,165.523
A1BG,471.275,776.175,385.416,215.905,395.765,435.139,180.897,244.646,194.312,180.22,161.521,236.435,169.139,351.792,91.654,95.277,429.95700000000005
A1BG-AS1,31.8,36.626999999999995,27.347,31.128,3.847,9.440999999999999,11.035,2.251,9.18,8.401,5.307,42.58,1.38,22.656,6.976,0,48.152
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,1,0,1.11,1,0,0,0,0,0,0,0,0,0,0,0,0
A2M-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,48,36,4,95,21,1,9,9,1,4,45.885000000000005,2,3,1,4,24.82,3
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,350.517,1241.553,448.271,807.186,460.11699999999996,357.441,1122.506,693.204,1845.955,1613.2920000000001,978.165,2099.036,477.90000000000003,3285.407,770.462,941.581,4233.416
AACS,365.171,941.612,525.927,689.254,305.446,433.647,445.468,434.475,778.941,548.97,661.626,1023.885,189.824,1342.365,235.65,518.409,1692.2
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
AAGAB,623.355,1757.1519999999998,567.4300000000001,945.918,686.835,646.693,739.484,946.33,1590.341,1320.6960000000001,1113.234,1346.519,462.866,1611.954,552.9989999999999,787.8420000000001,2612.274
AAK1,714.355,2406.337,1060.4470000000001,953.254,372.703,545.2349999999999,308.216,473.698,861.18,596.815,1378.814,1753.155,369.151,2242.457,323.558,988.8020000000001,2037.924
