gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7SK,25.939539337617656,5.739643292047802,2.080638839677248,2.7585966303205915,0.005805013984594955,0.04941057053777311
A1BG,300.25924117752186,-1.084492848471556,0.4651352019517021,-2.3315647663755312,0.019723599179921888,0.10293211191982475
A1BG-AS1,14.716799572056681,-1.9758908970645968,1.0464079783184144,-1.888260542737708,0.05899098159979846,0.1985435946724537
A4GALT,19.610643429423202,-1.8195091981803393,1.4842591269304868,-1.2258703114348803,0.22024748263261165,0.44043727865374277
AAAS,1030.5396641280327,1.2065941676114267,0.2564058826132203,4.705797524277295,2.528754063977808e-6,4.1022087881290335e-4
AACS,561.7084906479414,0.1070037102276553,0.26664573951028187,0.40129540574762956,0.6882026456846677,0.8350301469690008
AAGAB,963.6031040615253,0.4961124401394681,0.20106768694128976,2.467390199223454,0.013610195549618235,0.08201566142173261
AAK1,862.1769386821057,-1.065174838194442,0.37839063871086903,-2.815013716574393,0.004877515202196904,0.04407080303996847
AAMDC,72.6882048080719,-1.6783823841476926,0.7143347199719309,-2.3495741383166187,0.01879490076757984,0.09982543816380667
AAMP,2140.092085389928,0.4551548276776233,0.31559774680937297,1.4421992307585942,0.14924617754657607,0.35121821277066817
AANAT,0.5184870890565976,-0.49415540812478315,4.077662504536871,-0.12118595091550076,0.9035437516457308,NA
AAR2,1060.4332869833756,0.07969783581166824,0.18670746323978155,0.42685940041569326,0.6694817382897797,0.8241020672055572
AARD,5.166720348539753,-0.40012958665334775,1.6854858303218747,-0.23739718213883507,0.812348675587612,0.9062812064226863
AARS1,2951.702939379445,0.987370568351551,0.3391212981840198,2.911555757892172,0.0035963371406428977,0.036782363119636334
AARS2,364.06323991022487,0.8374659511900427,0.5065411967805874,1.6533027451917168,0.09826926458147135,0.27563770576029895
AARSD1,573.4225444773213,1.0272325772398732,0.45577626124938864,2.2538088631996542,0.024208194991380085,0.11613545005289785
AARSD1P1,1.3339663825459198,-0.1915646344663874,2.955433982127553,-0.06481776809255071,0.9483190943068651,NA
AASDH,111.62601340458649,0.26631583031011213,0.31744454937728417,0.8389365350028255,0.4015049244756545,0.6259934854751117
AASDHPPT,821.7902145467656,0.778578908123498,0.33647179020313145,2.3139500272919222,0.020670463476233056,0.10545872946277272
AASS,4.051120350498597,1.0999877193748,2.938235221340882,0.3743702040549407,0.708128907598611,0.8472910530505242
AATBC,1.0478000762140915,0.1335311277286601,2.7660341479386434,0.04827529979272769,0.9614968395063703,NA
AATF,1722.4581049372573,0.14963228179565896,0.24611020105394135,0.6079889462317054,0.5431948051846434,0.7387410647639386
AATK,4.4489937412702325,-2.7978920480991154,2.0743915185825514,-1.3487772308339063,0.1774085302592591,0.3880847555603214
ABALON,8.823488671673717,4.38759522213195,1.7829087009422881,2.4609197430093053,0.01385813623152065,0.08269408607880999
ABAT,164.30015006189052,0.1844129603397075,0.42612685359242447,0.4327654049141247,0.6651852085623713,0.8213291933975426
ABCA1,6.005178247030884,-0.7224130731061579,1.4608932396102057,-0.494500935125767,0.6209524461000533,0.7918404961055373
ABCA11P,2.303052907725167,-0.9232145837591923,2.444031522334581,-0.37774250263242176,0.7056218905177993,NA
ABCA17P,1.2306546735823827,-0.1707081081069574,2.415376984207271,-0.07067555467453623,0.943655976717845,NA
ABCA2,261.7113940792164,-2.018255235466589,0.7969781201240561,-2.5323847474663808,0.0113289606219685,0.07398617078454564
ABCA3,155.22998724550456,-0.3884876980525813,0.402785038598746,-0.9645037943914108,0.3347934069923821,0.5647697000412809
ABCA5,12.890111453658333,-2.7954374314142436,1.5394075867166623,-1.8159176656888605,0.0693830029944858,0.22082074594470016
ABCA7,261.0591042203594,-2.407427063859884,0.8046836803977663,-2.991768222104193,0.0027736676046830992,0.03146649652563962
ABCB1,181.51675201378757,-1.731396205628624,0.55087199924686725,-3.143010005946441,0.00167220123721268,0.02319210980221401
ABCB10,730.4914556136572,0.41658855356648467,0.340344482013987,1.224020295852378,0.2209445712621585,0.44136886488398225
ABCB6,206.2828608213658,1.0282540334087036,0.4993236612517999,2.0592936269650832,0.03946611862996422,0.1555621144758786
ABCB7,406.1792424878114,-0.3805328168159606,0.35654273765649214,-1.0672852834337674,0.2858430315212997,0.5134806164469664
ABCB8,544.2283640639604,0.4797666599111813,0.22256964195096976,2.1555799600777084,0.03111647876077072,0.13407128405106344
ABCB9,35.301354106374035,0.3898697984500332,0.5632675143695133,0.6921574358614118,0.48883846547004295,0.6999005987322824
ABCC1,1019.0976299890632,0.2992781498242403,0.7168195853962149,0.41750833253086583,0.6763066308157077,0.8282966195505178
ABCC10,296.8728980216417,-0.7104148756144703,0.4372100272405171,-1.6248823937051613,0.10418762036700979,0.285422490671733
ABCC2,1.7409811633458359,-0.7837471465517595,2.03102592986832,-0.3858873168608798,0.6995801241915003,NA
ABCC4,194.3272990316583,0.6682099878334998,0.4953547843852158,1.3489523244694495,0.17735227995527206,0.38804546710374044
ABCC5,219.80087702533584,-0.5376887906631154,0.36975055610535523,-1.4541933251613786,0.14589271505969953,0.3466285605977302
ABCC6,0.9178932616995578,-0.5396899769864577,2.928464831419001,-0.18429109040211641,0.853785103051331,NA
ABCC9,1.3877906950587677,1.265366950622431,2.7960869441964027,0.4525492146261204,0.6508733752475306,NA
ABCD1,206.13890392502395,-1.1085561504646833,0.4929864131422828,-2.2486545691975053,0.024534481698164152,0.11713521535262635
ABCD2,540.110722733224,0.34904086112755295,0.62804689646739,0.5557560479811656,0.5783776355129346,0.7632175166767604
ABCD3,561.0049799715882,0.4797863822404194,0.32107223824113496,1.4943253420748428,0.13509060452620697,0.33255417235453494
ABCD4,48.648377167542215,-0.8296960437889276,0.8447396551545376,-0.9821914227965799,0.32600555235698625,0.5570842417738563
ABCE1,2706.3075603211187,1.220107892802353,0.4031848928297941,3.0261746273252004,0.0024766921898388724,0.02951547233779944
ABCF1,2894.0306198675216,0.4635789472747439,0.3624579022621372,1.2789870061640258,0.20090163164582384,0.4173266106967392
ABCF2,1581.4612052106563,1.0725848959206048,0.3753532769368253,2.8575343864684806,0.004269463713798707,0.04072581783036183
ABCF2-H2BK1,285.01455412695486,0.5567188121270485,0.5988864205727099,0.9295899739965103,0.352583420478332,0.5821728588862897
ABCF3,619.7168506346342,0.4584787897327829,0.327945515809595,1.3980334160110164,0.16210303279436336,0.3691742447084159
ABCG1,49.09521921256048,-1.758985018164248,0.9087169049191077,-1.9356798675609863,0.05290692169323288,0.18666559479105038
ABCG2,81.29391793276783,0.04203006987857186,0.6968110692840156,0.06031774139546667,0.9519025720817945,0.9786932585300971
ABCG8,0.6485189580542174,0,4.01326297017229,0,1,NA
ABHD1,0.6226688114695209,1.2292102949150854,4.148011307633637,0.29633725748359324,0.7669725356396637,NA
ABHD10,573.7567100641726,0.8551229058908645,0.301016016692219,2.8407887237615177,0.004500211570704852,0.041901360173575056
ABHD11,177.87317985975966,0.845664822410319,0.3428132933210416,2.4668378936471447,0.013631205251519325,0.0820774858796136
ABHD12,847.8985992164379,0.15658463255975386,0.213118643784252,0.7347298658594617,0.4625040275993938,0.6780253716894623
ABHD13,484.2727857713224,-0.4243906468501849,0.3586358415928526,-1.183346998909221,0.23667165338240018,0.4601446584096321
ABHD14A,356.5212966915233,-0.5953579993156127,0.3566815591796348,-1.669158340243135,0.09508600384649851,0.27053536030110537
ABHD14B,1132.3381300784156,-1.2704189033244964,0.3186354333942789,-3.9870609799773344,6.68968360121461e-5,0.0032846131379597136
