File	TF	CellLine	Assay	Target	Lab	OutputType
ENCFF001TRO	CEBPB	A549	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001TRP	CEBPB	A549	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001TRQ	CREB1	A549	TF ChIP-seq	CREB1-human	Richard Myers, HAIB	peaks
ENCFF001TRR	CREB1	A549	TF ChIP-seq	CREB1-human	Richard Myers, HAIB	peaks
ENCFF001TTP	SP1	A549	TF ChIP-seq	SP1-human	Richard Myers, HAIB	peaks
ENCFF001TTQ	SP1	A549	TF ChIP-seq	SP1-human	Richard Myers, HAIB	peaks
ENCFF001TTT	TCF12	A549	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001TTU	TCF12	A549	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001TUH	CEBPB	Ishikawa	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001TUI	CEBPB	Ishikawa	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001TUJ	CREB1	Ishikawa	TF ChIP-seq	CREB1-human	Richard Myers, HAIB	peaks
ENCFF001TUK	CREB1	Ishikawa	TF ChIP-seq	CREB1-human	Richard Myers, HAIB	peaks
ENCFF001TVN	SRF	Ishikawa	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001TVO	SRF	Ishikawa	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001TVR	TCF12	Ishikawa	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001TVS	TCF12	Ishikawa	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001UDO	CEBPB	HCT116	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001UDP	CEBPB	HCT116	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001UEK	SP1	HCT116	TF ChIP-seq	SP1-human	Richard Myers, HAIB	peaks
ENCFF001UEL	SP1	HCT116	TF ChIP-seq	SP1-human	Richard Myers, HAIB	peaks
ENCFF001UEM	SRF	HCT116	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001UEN	SRF	HCT116	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001UFI	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001UFJ	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001UFM	CREB1	HepG2	TF ChIP-seq	CREB1-human	Richard Myers, HAIB	peaks
ENCFF001UFN	CREB1	HepG2	TF ChIP-seq	CREB1-human	Richard Myers, HAIB	peaks
ENCFF001UHI	RXRA	HepG2	TF ChIP-seq	RXRA-human	Richard Myers, HAIB	peaks
ENCFF001UHJ	RXRA	HepG2	TF ChIP-seq	RXRA-human	Richard Myers, HAIB	peaks
ENCFF001UHM	SP1	HepG2	TF ChIP-seq	SP1-human	Richard Myers, HAIB	peaks
ENCFF001UHN	SP1	HepG2	TF ChIP-seq	SP1-human	Richard Myers, HAIB	peaks
ENCFF001UHQ	SRF	HepG2	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001UHR	SRF	HepG2	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001UHU	TCF12	HepG2	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001UHV	TCF12	HepG2	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001UIQ	SPI1	HL-60	TF ChIP-seq	SPI1-human	Richard Myers, HAIB	peaks
ENCFF001UIR	SPI1	HL-60	TF ChIP-seq	SPI1-human	Richard Myers, HAIB	peaks
ENCFF001UJE	CEBPB	K562	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001UJF	CEBPB	K562	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001UJI	CREB1	K562	TF ChIP-seq	CREB1-human	Richard Myers, HAIB	peaks
ENCFF001UJJ	CREB1	K562	TF ChIP-seq	CREB1-human	Richard Myers, HAIB	peaks
ENCFF001UKV	SPI1	K562	TF ChIP-seq	SPI1-human	Richard Myers, HAIB	peaks
ENCFF001UKW	SPI1	K562	TF ChIP-seq	SPI1-human	Richard Myers, HAIB	peaks
ENCFF001ULF	SP1	K562	TF ChIP-seq	SP1-human	Richard Myers, HAIB	peaks
ENCFF001ULG	SP1	K562	TF ChIP-seq	SP1-human	Richard Myers, HAIB	peaks
ENCFF001ULJ	SRF	K562	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001ULK	SRF	K562	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001UMJ	CEBPB	MCF-7	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001UMK	CEBPB	MCF-7	TF ChIP-seq	CEBPB-human	Richard Myers, HAIB	peaks
ENCFF001UNR	SRF	MCF-7	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001UNS	SRF	MCF-7	TF ChIP-seq	SRF-human	Richard Myers, HAIB	peaks
ENCFF001UNV	TCF12	MCF-7	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001UNW	TCF12	MCF-7	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001UQB	RXRA	SK-N-SH	TF ChIP-seq	RXRA-human	Richard Myers, HAIB	peaks
ENCFF001UQC	RXRA	SK-N-SH	TF ChIP-seq	RXRA-human	Richard Myers, HAIB	peaks
ENCFF001UQH	TCF12	SK-N-SH	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001UQI	TCF12	SK-N-SH	TF ChIP-seq	TCF12-human	Richard Myers, HAIB	peaks
ENCFF001USU	MYC	HeLa-S3	TF ChIP-seq	MYC-human	Vishwanath Iyer, UTA	peaks
ENCFF001USX	MYC	HepG2	TF ChIP-seq	MYC-human	Vishwanath Iyer, UTA	peaks
ENCFF001UTC	MYC	K562	TF ChIP-seq	MYC-human	Vishwanath Iyer, UTA	peaks
ENCFF001UTK	MYC	MCF-7	TF ChIP-seq	MYC-human	Vishwanath Iyer, UTA	peaks
ENCFF001UTL	MYC	MCF-7	TF ChIP-seq	MYC-human	Vishwanath Iyer, UTA	peaks
ENCFF001UTM	MYC	MCF-7	TF ChIP-seq	MYC-human	Vishwanath Iyer, UTA	peaks
ENCFF001UTN	MYC	MCF-7	TF ChIP-seq	MYC-human	Vishwanath Iyer, UTA	peaks
ENCFF001VDN	CEBPB	A549	TF ChIP-seq	CEBPB-human	Michael Snyder, Stanford	peaks
ENCFF001VDO	MYC	A549	TF ChIP-seq	MYC-human	Michael Snyder, Stanford	peaks
ENCFF001VIA	CEBPB	HeLa-S3	TF ChIP-seq	CEBPB-human	Michael Snyder, Stanford	peaks
ENCFF001VID	MYC	HeLa-S3	TF ChIP-seq	MYC-human	Sherman Weissman, Yale	peaks
ENCFF001VIE	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	Peggy Farnham, USC	peaks
ENCFF001VIM	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	Peggy Farnham, USC	peaks
ENCFF001VJJ	STAT3	HeLa-S3	TF ChIP-seq	STAT3-human	Michael Snyder, Stanford	peaks
ENCFF001VJX	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	Michael Snyder, Stanford	peaks
ENCFF001VJZ	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	Michael Snyder, Stanford	peaks
ENCFF001VKZ	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	Michael Snyder, Stanford	peaks
ENCFF001VLA	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	Sherman Weissman, Yale	peaks
ENCFF001VMI	CEBPB	K562	TF ChIP-seq	CEBPB-human	Michael Snyder, Stanford	peaks
ENCFF001VMQ	MYC	K562	TF ChIP-seq	MYC-human	Sherman Weissman, Yale	peaks
ENCFF001VMR	MYC	K562	TF ChIP-seq	MYC-human	Sherman Weissman, Yale	peaks
ENCFF001VMS	MYC	K562	TF ChIP-seq	MYC-human	Michael Snyder, Stanford	peaks
ENCFF001VMT	MYC	K562	TF ChIP-seq	MYC-human	Sherman Weissman, Yale	peaks
ENCFF001VMU	MYC	K562	TF ChIP-seq	MYC-human	Michael Snyder, Stanford	peaks
ENCFF001VMV	MYC	K562	TF ChIP-seq	MYC-human	Sherman Weissman, Yale	peaks
ENCFF001VOZ	TAL1	K562	TF ChIP-seq	TAL1-human	Michael Snyder, Stanford	peaks
ENCFF001VQH	E2F1	MCF-7	TF ChIP-seq	E2F1-human	Peggy Farnham, USC	peaks
ENCFF001VQK	MYC	NB4	TF ChIP-seq	MYC-human	Michael Snyder, Stanford	peaks
ENCFF002CFI	CREB1	A549	TF ChIP-seq	CREB1-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CGB	TCF12	A549	TF ChIP-seq	TCF12-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CKD	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CKZ	RXRA	HepG2	TF ChIP-seq	RXRA-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CLB	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CLD	SRF	HepG2	TF ChIP-seq	SRF-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CLF	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CLR	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CMJ	SPI1	K562	TF ChIP-seq	SPI1-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CMN	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CMP	SRF	K562	TF ChIP-seq	SRF-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002COD	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CSA	CEBPB	HeLa-S3	TF ChIP-seq	CEBPB-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CSE	MYC	HeLa-S3	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CSG	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CSM	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CTH	STAT3	HeLa-S3	TF ChIP-seq	STAT3-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CTV	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CTW	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CUV	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CVV	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CWD	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CWE	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CWF	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CWG	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CWH	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CWI	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CYH	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CZL	E2F1	MCF-7	TF ChIP-seq	E2F1-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002CZO	MYC	NB4	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002DAT	MYC	HeLa-S3	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002DAW	MYC	HepG2	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002DBC	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002DBF	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002DBG	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002DBH	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002DBI	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Consortium Analysis Working Group	optimal IDR thresholded peaks
ENCFF002WKU	SRF	K562	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF003ANH	CEBPB	Ishikawa	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF003DIJ	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF003LPE	RUNX1	K562	TF ChIP-seq	RUNX1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF003QBR	SP1	MCF-7	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF004CLN	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF004ZKN	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF006RQX	TCF12	HepG2	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
